Gene	Status
100861at314145	Single
100863at314145	Single
100867at314145	Single
10086at314145	Single
100879at314145	Single
100882at314145	Single
100922at314145	Single
100923at314145	Single
100929at314145	Single
100940at314145	Single
100959at314145	Single
100978at314145	Single
100979at314145	Single
100980at314145	Single
100982at314145	Single
100986at314145	Single
100988at314145	Single
100990at314145	Single
100991at314145	Single
1009at314145	Single
101008at314145	Single
101009at314145	Single
101010at314145	Single
101011at314145	Single
101030at314145	Single
101050at314145	Single
101074at314145	Single
101076at314145	Single
101077at314145	Single
101107at314145	Single
101113at314145	Single
10111at314145	Single
101150at314145	Single
101156at314145	Single
101159at314145	Single
101168at314145	Single
101171at314145	Single
101182at314145	Single
101201at314145	Single
101216at314145	Single
101217at314145	Single
101244at314145	Single
10124at314145	Single
101259at314145	Single
101275at314145	Single
101277at314145	Single
101288at314145	Single
101298at314145	Single
10129at314145	Single
101301at314145	Single
101304at314145	Single
101307at314145	Single
10130at314145	Single
101312at314145	Single
101315at314145	Single
101316at314145	Single
10131at314145	Single
101324at314145	Single
101330at314145	Single
101331at314145	Single
101332at314145	Single
10133at314145	Single
101345at314145	Single
10134at314145	Single
101368at314145	Single
10136at314145	Single
101374at314145	Single
101375at314145	Single
101380at314145	Single
101400at314145	Single
101401at314145	Single
101404at314145	Single
101413at314145	Duplicated
101413at314145	Duplicated
101428at314145	Single
10142at314145	Single
101443at314145	Single
101449at314145	Single
10144at314145	Single
101454at314145	Single
101464at314145	Single
101473at314145	Single
101477at314145	Single
101481at314145	Single
101482at314145	Single
101496at314145	Single
101504at314145	Single
101518at314145	Single
101534at314145	Single
101539at314145	Single
101548at314145	Single
101555at314145	Single
101563at314145	Single
101567at314145	Single
101583at314145	Single
101593at314145	Single
101596at314145	Single
101603at314145	Single
101606at314145	Single
101608at314145	Single
101610at314145	Single
101618at314145	Single
101621at314145	Single
101629at314145	Single
101647at314145	Single
101663at314145	Single
101685at314145	Single
101687at314145	Single
101710at314145	Single
101716at314145	Single
101721at314145	Single
101741at314145	Single
10174at314145	Single
101757at314145	Single
101777at314145	Single
10177at314145	Single
101784at314145	Single
101786at314145	Single
10178at314145	Single
101791at314145	Single
101799at314145	Single
101801at314145	Single
101814at314145	Single
101817at314145	Single
101825at314145	Single
101829at314145	Single
101843at314145	Single
101844at314145	Single
101874at314145	Single
101877at314145	Single
101885at314145	Single
101889at314145	Single
101892at314145	Single
101903at314145	Single
101904at314145	Single
101908at314145	Single
101915at314145	Single
101921at314145	Single
101930at314145	Single
101931at314145	Single
101933at314145	Single
101943at314145	Single
10195at314145	Single
101961at314145	Single
10197at314145	Single
101985at314145	Single
101987at314145	Single
101996at314145	Single
102064at314145	Single
10206at314145	Single
102077at314145	Single
102086at314145	Single
102099at314145	Single
102103at314145	Single
102111at314145	Single
102117at314145	Single
102133at314145	Single
102139at314145	Single
102150at314145	Single
102154at314145	Single
102187at314145	Single
102194at314145	Single
102197at314145	Single
1021at314145	Single
102201at314145	Single
102204at314145	Single
102207at314145	Single
102210at314145	Single
102222at314145	Single
102248at314145	Single
102252at314145	Single
102278at314145	Single
102294at314145	Single
102303at314145	Single
102306at314145	Single
102308at314145	Duplicated
102308at314145	Duplicated
102313at314145	Single
102336at314145	Single
102338at314145	Single
10233at314145	Single
102343at314145	Single
102366at314145	Single
102376at314145	Single
102377at314145	Single
102388at314145	Single
102400at314145	Single
102404at314145	Single
102405at314145	Single
102407at314145	Single
102442at314145	Single
102448at314145	Single
102450at314145	Single
102451at314145	Single
102457at314145	Single
102494at314145	Single
102503at314145	Single
10251at314145	Single
102531at314145	Single
102537at314145	Single
10253at314145	Single
102566at314145	Single
102578at314145	Single
102583at314145	Single
1025at314145	Single
102614at314145	Single
102615at314145	Single
102638at314145	Single
102641at314145	Single
102648at314145	Single
102657at314145	Single
10265at314145	Single
102666at314145	Single
102682at314145	Single
102698at314145	Single
102703at314145	Single
102725at314145	Single
102731at314145	Single
102732at314145	Single
102737at314145	Single
102739at314145	Single
102746at314145	Single
102765at314145	Single
102779at314145	Single
102788at314145	Single
102797at314145	Single
102802at314145	Single
102804at314145	Single
102807at314145	Single
102831at314145	Single
102834at314145	Single
102845at314145	Single
102859at314145	Single
102873at314145	Single
102880at314145	Single
102895at314145	Single
102896at314145	Single
102900at314145	Single
102909at314145	Single
102914at314145	Single
102927at314145	Single
102941at314145	Single
102944at314145	Single
102951at314145	Single
102957at314145	Single
102968at314145	Single
102969at314145	Single
102977at314145	Single
10298at314145	Single
102995at314145	Single
103003at314145	Single
103005at314145	Single
103008at314145	Single
10300at314145	Single
103010at314145	Single
103012at314145	Single
10301at314145	Single
103025at314145	Single
103034at314145	Single
103036at314145	Single
10305at314145	Single
103080at314145	Single
103089at314145	Single
103093at314145	Single
103099at314145	Single
103101at314145	Single
103116at314145	Single
10312at314145	Single
103147at314145	Single
103181at314145	Single
10318at314145	Single
103193at314145	Single
103200at314145	Single
103207at314145	Single
103254at314145	Single
103256at314145	Single
10325at314145	Single
103282at314145	Single
103285at314145	Single
103294at314145	Single
103295at314145	Single
103312at314145	Single
103326at314145	Single
103329at314145	Single
103333at314145	Single
103337at314145	Single
103348at314145	Single
103350at314145	Single
103353at314145	Single
103358at314145	Single
103361at314145	Single
103378at314145	Single
103388at314145	Single
103404at314145	Single
103406at314145	Single
103407at314145	Single
10340at314145	Single
103410at314145	Single
103427at314145	Single
103428at314145	Single
103429at314145	Single
103430at314145	Single
10343at314145	Single
103464at314145	Single
103468at314145	Single
10346at314145	Single
103471at314145	Single
10348at314145	Single
103494at314145	Single
103497at314145	Single
103511at314145	Single
103547at314145	Duplicated
103547at314145	Duplicated
10354at314145	Single
103550at314145	Single
103565at314145	Single
103578at314145	Single
103588at314145	Single
103606at314145	Single
103622at314145	Single
103642at314145	Single
103665at314145	Single
103669at314145	Single
103673at314145	Single
103687at314145	Single
103697at314145	Single
103711at314145	Single
103719at314145	Single
103725at314145	Single
103734at314145	Single
10374at314145	Single
103753at314145	Single
103766at314145	Single
103769at314145	Single
10376at314145	Single
103771at314145	Single
103775at314145	Single
103778at314145	Single
103795at314145	Duplicated
103795at314145	Duplicated
103796at314145	Single
103816at314145	Single
103818at314145	Single
103819at314145	Single
103829at314145	Single
103830at314145	Single
103839at314145	Single
103843at314145	Single
103884at314145	Single
10388at314145	Single
103898at314145	Single
103900at314145	Single
103908at314145	Single
103917at314145	Single
103920at314145	Single
103935at314145	Single
103937at314145	Single
103960at314145	Single
103974at314145	Single
103982at314145	Single
103985at314145	Single
103992at314145	Single
103999at314145	Single
10399at314145	Single
104004at314145	Single
104010at314145	Single
10405at314145	Single
104062at314145	Single
104069at314145	Single
10408at314145	Single
104098at314145	Single
104126at314145	Single
104155at314145	Single
104156at314145	Single
104166at314145	Single
104169at314145	Single
104176at314145	Single
104189at314145	Single
104203at314145	Single
104204at314145	Single
104206at314145	Single
104211at314145	Single
104215at314145	Single
104223at314145	Single
104226at314145	Single
104232at314145	Single
104256at314145	Single
104260at314145	Single
104261at314145	Single
104272at314145	Single
104279at314145	Single
10427at314145	Single
104289at314145	Single
104290at314145	Single
104293at314145	Single
104305at314145	Single
104312at314145	Single
104352at314145	Single
104356at314145	Single
104361at314145	Single
104367at314145	Single
10436at314145	Single
104371at314145	Single
104375at314145	Single
104387at314145	Single
104388at314145	Single
104392at314145	Single
104395at314145	Single
104396at314145	Single
104413at314145	Single
104419at314145	Single
10441at314145	Single
104424at314145	Single
104425at314145	Single
104426at314145	Single
104427at314145	Single
104429at314145	Single
104433at314145	Single
10443at314145	Single
104455at314145	Single
10445at314145	Single
104469at314145	Single
104470at314145	Single
104477at314145	Single
10447at314145	Single
1044at314145	Single
10450at314145	Single
104541at314145	Single
104551at314145	Single
104553at314145	Single
104555at314145	Single
104580at314145	Single
104582at314145	Single
104617at314145	Single
104632at314145	Single
104639at314145	Single
104647at314145	Single
10464at314145	Single
104668at314145	Single
104688at314145	Single
104695at314145	Single
104716at314145	Single
104717at314145	Single
104740at314145	Single
104754at314145	Single
104767at314145	Single
104783at314145	Single
104786at314145	Single
104802at314145	Single
104814at314145	Single
104818at314145	Single
104826at314145	Single
104829at314145	Single
104833at314145	Single
104840at314145	Single
104841at314145	Single
10484at314145	Single
104902at314145	Single
104909at314145	Single
104913at314145	Single
104915at314145	Single
104932at314145	Single
10493at314145	Single
104941at314145	Single
104943at314145	Single
104955at314145	Single
104957at314145	Single
10497at314145	Single
104983at314145	Single
105000at314145	Single
105040at314145	Single
105045at314145	Single
105050at314145	Single
105071at314145	Single
105074at314145	Single
105078at314145	Single
105084at314145	Single
10508at314145	Single
105103at314145	Single
105110at314145	Single
105112at314145	Single
105114at314145	Single
10511at314145	Single
105124at314145	Single
105125at314145	Single
105147at314145	Single
10514at314145	Single
105160at314145	Single
105168at314145	Single
105173at314145	Single
105174at314145	Single
105201at314145	Single
105204at314145	Single
105218at314145	Single
105230at314145	Single
105246at314145	Single
105251at314145	Single
105254at314145	Single
105266at314145	Single
105276at314145	Single
105278at314145	Single
10527at314145	Single
105280at314145	Single
105285at314145	Single
105289at314145	Single
105293at314145	Single
105300at314145	Single
105309at314145	Single
105313at314145	Single
105324at314145	Single
105340at314145	Single
10534at314145	Single
105382at314145	Single
105389at314145	Single
105395at314145	Single
105415at314145	Single
105417at314145	Single
105428at314145	Single
10542at314145	Single
105438at314145	Single
105452at314145	Single
105457at314145	Single
10545at314145	Single
105461at314145	Single
10546at314145	Single
105471at314145	Duplicated
105471at314145	Duplicated
105471at314145	Duplicated
105471at314145	Duplicated
105471at314145	Duplicated
105480at314145	Single
105496at314145	Single
10551at314145	Single
105523at314145	Single
105534at314145	Single
105539at314145	Single
105543at314145	Single
105544at314145	Single
105550at314145	Single
105551at314145	Single
105554at314145	Single
105565at314145	Single
105572at314145	Single
105575at314145	Single
105586at314145	Single
105597at314145	Single
1055at314145	Single
105605at314145	Single
105615at314145	Single
105617at314145	Single
105620at314145	Single
105626at314145	Single
10562at314145	Single
105630at314145	Single
105639at314145	Single
10563at314145	Single
10564at314145	Single
105664at314145	Single
105669at314145	Single
10567at314145	Single
105690at314145	Single
10569at314145	Single
105702at314145	Single
105708at314145	Single
105718at314145	Single
105758at314145	Single
105760at314145	Single
105769at314145	Single
105789at314145	Single
105791at314145	Single
105799at314145	Single
105805at314145	Single
105807at314145	Single
105810at314145	Single
105830at314145	Single
105831at314145	Single
105837at314145	Single
105847at314145	Single
105870at314145	Single
105878at314145	Single
10590at314145	Single
105912at314145	Single
105915at314145	Single
10591at314145	Single
105927at314145	Single
105935at314145	Single
105944at314145	Single
105945at314145	Single
105948at314145	Single
105965at314145	Single
1059at314145	Single
106007at314145	Single
106019at314145	Single
106020at314145	Single
106025at314145	Single
106027at314145	Single
10602at314145	Single
106031at314145	Single
106036at314145	Single
106047at314145	Single
106060at314145	Single
10606at314145	Single
106083at314145	Single
106085at314145	Single
106092at314145	Single
106096at314145	Single
106132at314145	Single
106156at314145	Single
106158at314145	Single
106165at314145	Single
106185at314145	Single
10619at314145	Single
106244at314145	Single
106268at314145	Single
106269at314145	Single
106285at314145	Single
106288at314145	Single
106337at314145	Single
106340at314145	Single
106342at314145	Single
106370at314145	Single
106373at314145	Single
106394at314145	Single
106403at314145	Single
106404at314145	Single
106406at314145	Single
10641at314145	Single
106426at314145	Single
106428at314145	Single
106431at314145	Single
106438at314145	Single
106448at314145	Single
10644at314145	Single
106458at314145	Single
10645at314145	Single
10647at314145	Single
106489at314145	Single
106502at314145	Single
106511at314145	Single
106522at314145	Duplicated
106522at314145	Duplicated
106531at314145	Single
106536at314145	Single
106541at314145	Single
106566at314145	Single
106581at314145	Single
106625at314145	Single
106634at314145	Single
106640at314145	Single
106642at314145	Single
106643at314145	Single
106651at314145	Single
106666at314145	Single
106672at314145	Single
106732at314145	Single
106737at314145	Single
10673at314145	Single
10674at314145	Single
10675at314145	Single
106761at314145	Single
106763at314145	Single
106765at314145	Duplicated
106765at314145	Duplicated
106765at314145	Duplicated
106768at314145	Single
106778at314145	Single
106781at314145	Single
106786at314145	Single
106804at314145	Single
106808at314145	Single
106819at314145	Single
106857at314145	Single
106858at314145	Single
106864at314145	Single
106882at314145	Single
106885at314145	Single
106895at314145	Single
106897at314145	Single
106902at314145	Single
106905at314145	Single
106918at314145	Single
106939at314145	Single
106964at314145	Single
106979at314145	Single
106985at314145	Single
107001at314145	Single
107014at314145	Single
107019at314145	Single
10702at314145	Single
107033at314145	Single
107044at314145	Single
107047at314145	Single
107050at314145	Single
107064at314145	Single
107065at314145	Single
107066at314145	Duplicated
107066at314145	Duplicated
107069at314145	Single
107072at314145	Single
107093at314145	Single
107108at314145	Single
107125at314145	Single
107132at314145	Single
107141at314145	Single
107148at314145	Single
107149at314145	Single
107150at314145	Single
107152at314145	Single
107180at314145	Single
107184at314145	Single
1071at314145	Single
10720at314145	Single
107216at314145	Single
107223at314145	Single
107231at314145	Single
107268at314145	Single
107276at314145	Single
107291at314145	Single
107292at314145	Single
107308at314145	Single
107320at314145	Single
107333at314145	Single
107334at314145	Single
107338at314145	Single
107354at314145	Single
107385at314145	Single
107417at314145	Single
107423at314145	Single
107429at314145	Single
107440at314145	Single
107447at314145	Single
107448at314145	Single
107454at314145	Single
107467at314145	Single
107479at314145	Single
107497at314145	Single
107506at314145	Single
107516at314145	Single
107520at314145	Single
107527at314145	Single
107531at314145	Single
107557at314145	Single
107558at314145	Single
107578at314145	Single
107587at314145	Single
107596at314145	Single
107600at314145	Single
107602at314145	Single
107604at314145	Single
107635at314145	Single
10763at314145	Single
10764at314145	Single
107657at314145	Single
107659at314145	Single
107666at314145	Single
107699at314145	Single
107718at314145	Single
10772at314145	Single
107736at314145	Single
107740at314145	Single
107741at314145	Single
107745at314145	Single
107751at314145	Single
107759at314145	Single
107783at314145	Single
107788at314145	Single
10778at314145	Single
107795at314145	Single
107808at314145	Single
107839at314145	Single
107844at314145	Single
10784at314145	Single
107860at314145	Single
107866at314145	Single
107877at314145	Single
10787at314145	Single
107893at314145	Single
10789at314145	Single
107908at314145	Single
107915at314145	Single
107919at314145	Single
107923at314145	Single
107941at314145	Single
107945at314145	Single
107947at314145	Single
107950at314145	Single
107951at314145	Duplicated
107951at314145	Duplicated
107962at314145	Single
107971at314145	Single
107976at314145	Single
107978at314145	Single
107989at314145	Single
107997at314145	Single
108009at314145	Single
108018at314145	Duplicated
108018at314145	Duplicated
108025at314145	Single
108029at314145	Single
108037at314145	Single
108044at314145	Single
108074at314145	Single
108078at314145	Single
108090at314145	Single
108124at314145	Single
108126at314145	Single
108128at314145	Single
10813at314145	Single
108153at314145	Single
108162at314145	Single
108163at314145	Single
108168at314145	Single
108198at314145	Duplicated
108198at314145	Duplicated
108219at314145	Single
108237at314145	Single
108238at314145	Single
108247at314145	Single
108275at314145	Single
108279at314145	Single
108298at314145	Single
108314at314145	Single
108322at314145	Single
108325at314145	Single
108346at314145	Single
108347at314145	Single
108356at314145	Single
108359at314145	Single
108361at314145	Single
108366at314145	Single
108376at314145	Single
10837at314145	Single
108381at314145	Single
108397at314145	Single
108414at314145	Single
108423at314145	Single
10843at314145	Single
108459at314145	Single
108464at314145	Single
108469at314145	Single
108481at314145	Single
10848at314145	Single
108508at314145	Single
10851at314145	Single
108528at314145	Single
108529at314145	Single
108546at314145	Single
108552at314145	Single
108564at314145	Single
108578at314145	Single
108580at314145	Single
108587at314145	Single
108607at314145	Single
108608at314145	Single
108612at314145	Single
10863at314145	Single
108641at314145	Single
108660at314145	Single
108686at314145	Single
10868at314145	Single
108711at314145	Single
108712at314145	Single
108713at314145	Single
108717at314145	Single
10871at314145	Single
108721at314145	Single
108723at314145	Single
108730at314145	Single
10873at314145	Single
108740at314145	Single
108755at314145	Single
108761at314145	Single
108762at314145	Single
108768at314145	Single
10876at314145	Single
10877at314145	Single
108780at314145	Single
108781at314145	Single
108817at314145	Single
10881at314145	Single
108837at314145	Single
108850at314145	Single
10885at314145	Single
108870at314145	Single
108877at314145	Single
108879at314145	Single
108883at314145	Single
108905at314145	Single
10891at314145	Single
108924at314145	Single
108933at314145	Single
108945at314145	Duplicated
108945at314145	Duplicated
10894at314145	Single
108952at314145	Single
10897at314145	Single
108985at314145	Single
108997at314145	Single
109010at314145	Single
109050at314145	Single
109052at314145	Single
109072at314145	Single
109085at314145	Single
109093at314145	Single
109095at314145	Single
109096at314145	Single
1090at314145	Single
109102at314145	Single
109106at314145	Single
109113at314145	Single
10911at314145	Single
109136at314145	Single
109140at314145	Single
109149at314145	Single
109151at314145	Single
109155at314145	Single
109156at314145	Single
109164at314145	Single
109171at314145	Single
109172at314145	Single
109175at314145	Single
109186at314145	Single
109258at314145	Single
109293at314145	Single
109299at314145	Single
109319at314145	Single
10932at314145	Single
10933at314145	Single
109341at314145	Single
109354at314145	Single
109362at314145	Single
109372at314145	Single
109385at314145	Single
10940at314145	Single
10943at314145	Single
109457at314145	Single
109460at314145	Single
109462at314145	Single
109465at314145	Single
109469at314145	Single
109470at314145	Single
109484at314145	Single
109488at314145	Single
10948at314145	Single
109506at314145	Single
109521at314145	Single
109531at314145	Single
109540at314145	Single
109568at314145	Single
109585at314145	Single
109591at314145	Single
109598at314145	Single
109610at314145	Single
109614at314145	Single
10963at314145	Single
10965at314145	Single
109681at314145	Single
109687at314145	Single
109705at314145	Single
109730at314145	Single
109749at314145	Single
109783at314145	Single
109795at314145	Single
109810at314145	Single
109819at314145	Single
109834at314145	Single
109836at314145	Single
109843at314145	Single
109845at314145	Single
109867at314145	Single
1098at314145	Single
109902at314145	Single
109906at314145	Single
109933at314145	Single
109934at314145	Single
109936at314145	Single
109951at314145	Single
109978at314145	Single
109979at314145	Single
109987at314145	Single
109990at314145	Single
109993at314145	Single
109996at314145	Single
11002at314145	Single
110038at314145	Single
11003at314145	Single
110063at314145	Single
110081at314145	Single
11009at314145	Single
110108at314145	Single
11011at314145	Single
110200at314145	Single
11021at314145	Single
110235at314145	Single
110257at314145	Single
11027at314145	Single
110286at314145	Single
110309at314145	Single
110319at314145	Single
110323at314145	Single
11032at314145	Single
110334at314145	Single
110336at314145	Single
110341at314145	Single
110345at314145	Single
110350at314145	Single
110376at314145	Single
110387at314145	Duplicated
110387at314145	Duplicated
110399at314145	Single
110405at314145	Single
110436at314145	Single
110439at314145	Single
110441at314145	Single
110452at314145	Single
110453at314145	Single
110461at314145	Single
110466at314145	Single
110467at314145	Single
110469at314145	Single
110477at314145	Single
110480at314145	Single
110495at314145	Single
110515at314145	Single
110525at314145	Single
11052at314145	Single
110548at314145	Single
110574at314145	Single
110580at314145	Single
110597at314145	Single
110630at314145	Single
110649at314145	Single
11064at314145	Single
110659at314145	Single
110687at314145	Single
110698at314145	Single
11069at314145	Single
110706at314145	Single
110724at314145	Single
110729at314145	Single
110747at314145	Single
110782at314145	Single
110804at314145	Single
110806at314145	Single
11080at314145	Single
110827at314145	Single
110847at314145	Single
110849at314145	Single
110854at314145	Single
110859at314145	Single
110866at314145	Single
110880at314145	Single
1108at314145	Single
110902at314145	Single
110905at314145	Single
110912at314145	Single
110921at314145	Single
110932at314145	Single
110934at314145	Single
110960at314145	Single
110975at314145	Single
11098at314145	Single
1109at314145	Single
111007at314145	Single
11101at314145	Single
111062at314145	Single
111096at314145	Single
111097at314145	Single
111100at314145	Single
111102at314145	Single
111110at314145	Fragmented
111114at314145	Single
111165at314145	Single
11118at314145	Single
11120at314145	Single
111227at314145	Single
111232at314145	Single
111234at314145	Single
111249at314145	Single
111256at314145	Single
111262at314145	Single
111265at314145	Single
111270at314145	Single
111289at314145	Single
111305at314145	Single
111336at314145	Single
111343at314145	Single
111348at314145	Single
111350at314145	Single
111357at314145	Single
11135at314145	Single
111378at314145	Single
111386at314145	Single
1113at314145	Single
111435at314145	Single
111488at314145	Single
111520at314145	Single
111568at314145	Single
111595at314145	Single
111611at314145	Fragmented
111620at314145	Single
111638at314145	Single
111655at314145	Single
111685at314145	Single
111708at314145	Single
111718at314145	Single
111722at314145	Single
111771at314145	Single
111777at314145	Single
11177at314145	Single
11178at314145	Single
111800at314145	Single
11180at314145	Single
111827at314145	Single
111857at314145	Single
111875at314145	Duplicated
111875at314145	Duplicated
111902at314145	Single
11190at314145	Single
11193at314145	Single
11194at314145	Single
111954at314145	Single
111964at314145	Single
111972at314145	Single
111975at314145	Single
111977at314145	Single
112008at314145	Single
112025at314145	Single
112031at314145	Single
112037at314145	Single
112041at314145	Single
112059at314145	Single
112065at314145	Duplicated
112065at314145	Duplicated
112072at314145	Single
112079at314145	Single
112081at314145	Single
112085at314145	Single
112112at314145	Single
112130at314145	Single
112148at314145	Single
112163at314145	Single
11217at314145	Single
11218at314145	Single
112214at314145	Single
112234at314145	Single
112244at314145	Single
11226at314145	Single
112279at314145	Single
112317at314145	Single
112331at314145	Single
112351at314145	Single
112371at314145	Single
112374at314145	Single
112376at314145	Single
112382at314145	Single
112386at314145	Single
112391at314145	Single
11239at314145	Single
112418at314145	Single
112421at314145	Single
112433at314145	Single
112447at314145	Duplicated
112447at314145	Duplicated
11244at314145	Single
112454at314145	Single
112463at314145	Single
112497at314145	Single
112505at314145	Single
112516at314145	Single
112523at314145	Single
112542at314145	Single
112548at314145	Single
112549at314145	Single
112553at314145	Single
11255at314145	Single
112569at314145	Single
112575at314145	Single
112617at314145	Single
112648at314145	Single
112659at314145	Single
11265at314145	Single
11266at314145	Single
11267at314145	Single
112712at314145	Single
112719at314145	Single
112753at314145	Single
112757at314145	Single
112771at314145	Single
11280at314145	Single
112812at314145	Single
112819at314145	Single
112833at314145	Single
112851at314145	Single
112876at314145	Duplicated
112876at314145	Duplicated
112896at314145	Single
112910at314145	Single
112919at314145	Single
112923at314145	Single
112928at314145	Single
11292at314145	Single
112932at314145	Single
112950at314145	Single
112952at314145	Single
112978at314145	Single
112991at314145	Single
112996at314145	Single
113008at314145	Single
113043at314145	Single
113072at314145	Single
113098at314145	Single
113114at314145	Single
113115at314145	Single
113121at314145	Single
113140at314145	Single
113143at314145	Single
113187at314145	Single
113189at314145	Single
11320at314145	Single
113239at314145	Single
113279at314145	Single
113302at314145	Single
113322at314145	Single
113354at314145	Single
113371at314145	Single
113388at314145	Single
11338at314145	Single
113399at314145	Single
1133at314145	Single
113435at314145	Single
113458at314145	Single
113460at314145	Single
11347at314145	Single
113501at314145	Single
113506at314145	Single
113518at314145	Single
113532at314145	Single
113537at314145	Single
113545at314145	Single
11355at314145	Single
113589at314145	Single
11358at314145	Single
113598at314145	Single
113603at314145	Single
113607at314145	Single
113623at314145	Single
11362at314145	Single
113651at314145	Single
113662at314145	Single
11374at314145	Single
113751at314145	Single
113793at314145	Single
113796at314145	Single
113798at314145	Single
11379at314145	Single
11380at314145	Single
113810at314145	Duplicated
113810at314145	Duplicated
113819at314145	Single
113824at314145	Single
11383at314145	Single
113859at314145	Single
113868at314145	Single
11387at314145	Single
113897at314145	Single
113899at314145	Single
11389at314145	Single
113904at314145	Single
113927at314145	Single
113930at314145	Single
113931at314145	Single
113957at314145	Single
113965at314145	Single
11396at314145	Single
113980at314145	Single
114011at314145	Single
11403at314145	Single
114049at314145	Single
114054at314145	Single
114079at314145	Single
1140at314145	Single
114103at314145	Single
114131at314145	Single
11413at314145	Single
11415at314145	Single
11416at314145	Single
114180at314145	Single
114188at314145	Single
11418at314145	Single
114196at314145	Single
114240at314145	Single
114255at314145	Single
11426at314145	Single
114304at314145	Single
114326at314145	Single
114347at314145	Duplicated
114347at314145	Duplicated
114374at314145	Single
114379at314145	Single
114403at314145	Single
114415at314145	Single
11441at314145	Single
114430at314145	Single
11445at314145	Single
114467at314145	Single
114579at314145	Single
11478at314145	Single
11479at314145	Single
11492at314145	Single
11494at314145	Single
11498at314145	Single
11504at314145	Single
11522at314145	Single
11530at314145	Single
11532at314145	Single
11533at314145	Single
11542at314145	Single
11552at314145	Single
11560at314145	Single
11568at314145	Single
11580at314145	Single
11581at314145	Single
11590at314145	Single
11600at314145	Single
11601at314145	Single
11612at314145	Single
11616at314145	Single
1162at314145	Single
11647at314145	Single
11658at314145	Single
11667at314145	Single
11669at314145	Single
11670at314145	Single
11676at314145	Single
1167at314145	Single
11696at314145	Single
11706at314145	Single
11709at314145	Single
11712at314145	Single
11730at314145	Single
11737at314145	Single
1173at314145	Single
11740at314145	Single
11759at314145	Single
11768at314145	Single
11770at314145	Single
11775at314145	Single
1177at314145	Single
11781at314145	Single
11783at314145	Single
11790at314145	Single
11795at314145	Single
11800at314145	Single
11802at314145	Single
11814at314145	Single
11817at314145	Single
11821at314145	Single
11825at314145	Single
11826at314145	Single
11831at314145	Single
11838at314145	Single
11848at314145	Single
11849at314145	Single
11860at314145	Single
11872at314145	Single
11873at314145	Single
11879at314145	Single
1187at314145	Single
11884at314145	Single
11886at314145	Single
1188at314145	Single
11913at314145	Single
11919at314145	Single
11938at314145	Single
11940at314145	Single
11942at314145	Single
11945at314145	Single
11956at314145	Single
11961at314145	Single
11979at314145	Single
11983at314145	Single
11986at314145	Single
11987at314145	Single
11990at314145	Single
12008at314145	Single
12025at314145	Single
12027at314145	Single
12031at314145	Single
12038at314145	Single
1203at314145	Single
12047at314145	Single
12087at314145	Single
12088at314145	Single
12089at314145	Single
12097at314145	Single
12111at314145	Single
12121at314145	Single
12134at314145	Single
12146at314145	Single
12157at314145	Single
12165at314145	Single
12166at314145	Single
12178at314145	Single
12184at314145	Single
12193at314145	Single
12196at314145	Single
12210at314145	Single
12229at314145	Single
12236at314145	Single
12238at314145	Single
1223at314145	Single
12241at314145	Single
12251at314145	Single
12260at314145	Single
