Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
10023at314145	Single	OW443379.1	43238673	43275498	+	4265	636	0.9361	0.9897727272727272	0	10023at314145_109478_0:000fde	43238674_43238859_+|43245395_43245418_+|43249324_43249519_+|43250151_43250349_+|43250803_43250896_+|43251401_43251475_+|43252202_43252254_+|43253326_43253418_+|43253665_43253708_+|43254001_43254188_+|43255326_43255501_+|43260571_43260701_+|43260796_43260943_+|43261284_43261530_+|43261980_43262214_+|43263821_43263975_+|43264262_43264414_+|43268878_43269024_+|43275367_43275501_+
100250at314145	Single	OW443379.1	12541944	12543104	+	885	164	0.9086	1.0	0	100250at314145_109478_0:00399d	12541945_12542021_+|12542111_12542227_+|12542429_12542585_+|12542676_12542761_+|12542984_12543107_+
100257at314145	Single	OW443366.1	20801099	20803305	-	753	147	0.8	1.0	0	100257at314145_109478_0:001700	20803264_20803305_-|20802389_20802541_-|20801924_20802046_-|20801585_20801695_-|20801097_20801234_-
100270at314145	Single	OW443367.1	117504365	117517800	-	761	157	0.8409	0.8627450980392157	0	100270at314145_29073_0:00157f	117517644_117517800_-|117508768_117508919_-|117507396_117507521_-|117504366_117504458_-
100275at314145	Single	OW443362.1	1488429	1493421	+	1372	161	0.9179	0.93	0	100275at314145_29088_0:002f3c	1488430_1488555_+|1490075_1490146_+|1490888_1490934_+|1491134_1491243_+|1492294_1492343_+|1492424_1492564_+|1493042_1493110_+|1493197_1493421_+
100280at314145	Single	OW443362.1	20552815	20570726	+	1036	171	0.9431	1.0	0	100280at314145_132908_0:001748	20552816_20553002_+|20558028_20558074_+|20565029_20565146_+|20565408_20565519_+|20570558_20570729_+
100285at314145	Single	OW443379.1	10123484	10126754	-	526	182	0.5732	1.0	2	100285at314145_9615_0:0047b2	10126461_10126754_-|10124747_10125042_-|10124135_10124230_-|10123482_10123515_-
100291at314145	Single	OW443366.1	113543875	113546866	-	1431	211	0.9887	1.0	0	100291at314145_118797_0:00490b	113546767_113546866_-|113545161_113545297_-|113544720_113544797_-|113544388_113544554_-|113543873_113544191_-
1002at314145	Single	OW443361.1	116314982	116396027	-	14697	2618	0.924	1.0	0	1002at314145_132908_0:00085e	116394964_116396027_-|116367307_116368255_-|116366179_116366257_-|116365965_116366060_-|116358736_116358867_-|116358415_116358519_-|116356341_116357002_-|116354847_116355192_-|116342933_116343159_-|116341512_116341688_-|116340829_116340901_-|116339000_116339517_-|116336484_116336781_-|116334191_116334817_-|116330641_116330931_-|116328949_116330459_-|116325865_116325995_-|116323066_116323117_-|116320483_116320689_-|116318957_116319068_-|116318440_116318673_-|116317140_116317316_-|116314980_116316256_-
100301at314145	Single	OW443379.1	39814185	39816973	-	704	106	0.8239	0.9695121951219512	0	100301at314145_225400_0:004346	39816850_39816973_-|39816281_39816351_-|39815891_39816009_-|39814706_39814837_-|39814186_39814216_-
100323at314145	Single	OW443366.1	38996030	39015816	-	929	147	0.9676	1.0	0	100323at314145_118797_0:003d3f	39015767_39015816_-|39011047_39011077_-|39010539_39010625_-|38998265_38998308_-|38996028_38996373_-
100335at314145	Single	OW443369.1	95986297	95988461	-	847	144	0.9314	1.0	0	100335at314145_42254_0:003228	95988345_95988461_-|95988082_95988157_-|95987646_95987750_-|95987138_95987216_-|95986879_95986927_-|95986295_95986396_-
100338at314145	Single	OW443376.1	4651032	4668648	-	624	159	0.6983	0.8461538461538461	0	100338at314145_109478_0:004b70	4668597_4668648_-|4667680_4667968_-|4651033_4651228_-
10033at314145	Single	OW443362.1	82337813	82439426	+	7522	1268	0.9491	0.9993394980184941	0	10033at314145_143302_0:002792	82337814_82338722_+|82378903_82379158_+|82430058_82430145_+|82430663_82433117_+|82434787_82435204_+|82435794_82435966_+|82437324_82437477_+|82439344_82439426_+
100341at314145	Single	OW443367.1	99324719	99363453	-	853	173	0.8901	0.8425925925925926	0	100341at314145_9974_0:001540	99363295_99363453_-|99326776_99326866_-|99325414_99325577_-|99324717_99324851_-
100346at314145	Single	OW443380.1	51585447	51586936	+	1079	171	0.9615	1.0	0	100346at314145_118797_0:003203	51585448_51585679_+|51585802_51585905_+|51586649_51586939_+
100352at314145	Single	OW443375.1	72869283	72878064	-	1219	199	0.9255	1.0	0	100352at314145_132908_0:000a39	72877821_72878064_-|72875181_72875294_-|72871606_72871729_-|72871305_72871477_-|72869281_72869393_-
100362at314145	Single	OW443361.1	138145835	138164509	+	904	161	0.9558	0.9187817258883249	0	100362at314145_109478_0:0017e8	138145836_138146009_+|138161405_138161471_+|138162573_138162670_+|138164306_138164512_+
100364at314145	Single	OW443363.1	78307988	78381927	+	713	188	0.6565	0.9768518518518519	0	100364at314145_29073_0:002fb6	78307989_78308304_+|78372456_78372565_+|78381009_78381125_+|78381799_78381927_+
100369at314145	Single	OW443371.1	4976097	4993340	+	1211	253	0.7834	1.0	0	100369at314145_291302_0:0031cd	4976098_4976173_+|4978017_4978158_+|4980982_4981091_+|4983015_4983101_+|4983608_4983757_+|4987860_4988015_+|4990950_4991099_+|4993213_4993343_+
10036at314145	Single	OW443365.1	120351475	120523499	-	5917	973	0.9702	1.0	0	10036at314145_9823_0:004958	120523350_120523499_-|120440163_120440282_-|120432849_120432938_-|120431775_120431855_-|120429844_120429951_-|120418840_120418968_-|120416937_120417040_-|120414740_120414790_-|120413692_120413756_-|120413258_120413339_-|120412184_120412334_-|120411432_120411629_-|120406292_120406453_-|120405460_120405611_-|120404177_120404248_-|120402237_120402310_-|120400219_120400322_-|120399564_120399745_-|120398216_120398479_-|120394093_120394267_-|120388858_120388960_-|120387229_120387374_-|120382409_120382468_-|120370612_120370739_-|120366008_120366143_-|120363755_120363820_-|120361449_120361552_-|120357965_120358118_-|120351473_120351574_-
100370at314145	Single	OW443373.1	38748963	38752285	-	1648	298	0.8873	1.0	0	100370at314145_109478_0:0048c8	38752189_38752285_-|38751059_38751210_-|38748961_38749779_-
100378at314145	Single	OW443376.1	48778996	48784039	-	858	163	1.0	0.9939393939393939	0	100378at314145_118797_0:002d98	48783732_48784039_-|48781120_48781196_-|48778994_48779103_-
100393at314145	Duplicated	OW443366.1	96478651	96483190	-	886	141	0.9714	0.9668508287292817	0	100393at314145_9974_0:00139a	96483130_96483190_-|96481953_96482004_-|96481240_96481369_-|96479029_96479105_-|96478880_96478949_-|96478649_96478786_-
100393at314145	Duplicated	OW443365.1	52793555	52798136	-	845	141	0.9261	0.9723756906077348	0	100393at314145_9974_0:00139a	52798073_52798136_-|52796891_52796942_-|52796157_52796286_-|52793935_52794011_-|52793786_52793855_-|52793553_52793690_-
100395at314145	Single	OW443378.1	60731112	60731631	+	740	160	0.8382	0.9558011049723757	0	100395at314145_9925_0:0023ac	60731113_60731631_+
100415at314145	Single	OW443375.1	62888690	62891156	-	819	169	0.8191	0.9082125603864735	0	100415at314145_89399_0:00351b	62891074_62891156_-|62889822_62889980_-|62888688_62889012_-
100421at314145	Single	OW443366.1	31474594	31478349	+	808	134	0.8343	0.9627659574468085	0	100421at314145_143302_0:002212	31474595_31474738_+|31476222_31476375_+|31477575_31477634_+|31477881_31477952_+|31478237_31478352_+
10042at314145	Single	OW443366.1	89041682	89181441	+	4987	801	0.9043	1.0	0	10042at314145_291302_0:000720	89041683_89041788_+|89052177_89052343_+|89106851_89107024_+|89111088_89111255_+|89114985_89115165_+|89117691_89117800_+|89121375_89121546_+|89126576_89126731_+|89127463_89127692_+|89131500_89131606_+|89140224_89140436_+|89151769_89152055_+|89164831_89165548_+|89177293_89177522_+|89178291_89178362_+|89181338_89181441_+
100442at314145	Single	OW443376.1	50499478	50508258	+	681	122	0.7945	0.9299363057324841	0	100442at314145_30538_0:004a89	50499479_50499517_+|50499689_50499772_+|50500714_50500786_+|50505408_50505517_+|50505642_50505721_+|50508207_50508258_+
100447at314145	Single	OW443365.1	13334358	13346738	-	807	137	1.0	1.0	0	100447at314145_43346_0:000432	13346560_13346738_-|13339699_13339807_-|13339015_13339152_-|13334356_13334400_-
100449at314145	Single	OW443368.1	7252722	7254082	-	751	111	0.9507	0.9281045751633987	0	100449at314145_62698_0:000711	7253926_7254082_-|7252976_7253100_-|7252720_7252866_-
100463at314145	Single	OW443360.1	36592690	36599198	+	761	133	0.8333	0.9720670391061452	0	100463at314145_59538_0:0028e6	36592691_36592834_+|36592987_36593052_+|36595642_36595794_+|36596706_36596771_+|36599106_36599198_+
100467at314145	Single	OW443368.1	95014904	95021013	+	690	152	0.7473	1.0	0	100467at314145_109478_0:000320	95014905_95014977_+|95018352_95018567_+|95019372_95019503_+|95020157_95020200_+|95020951_95021016_+
100472at314145	Single	OW443361.1	153925329	153930844	-	958	161	1.0	1.0	0	100472at314145_118797_0:000148	153930691_153930844_-|153929614_153929676_-|153927977_153928104_-|153927470_153927522_-|153925327_153925474_-
100479at314145	Single	OW443373.1	39654976	39719918	-	712	135	0.9026	0.9565217391304348	0	100479at314145_9974_0:0009be	39719742_39719918_-|39654977_39655261_-
100482at314145	Single	OW443363.1	124713908	124734849	-	763	144	0.8192	0.8502415458937198	0	100482at314145_186990_0:003512	124734678_124734849_-|124717457_124717533_-|124716063_124716228_-|124713906_124714024_-
100484at314145	Single	OW443368.1	8611481	8615980	+	832	128	0.8579	1.0	0	100484at314145_9755_0:003970	8611482_8611616_+|8611772_8611878_+|8613816_8614073_+|8615891_8615983_+
100486at314145	Single	OW443368.1	6232917	6235488	+	839	155	0.8777	0.9740932642487047	0	100486at314145_9365_0:002476	6232918_6233040_+|6233416_6233511_+|6233935_6234028_+|6234113_6234272_+|6235398_6235488_+
100488at314145	Single	OW443379.1	42165246	42166712	-	794	152	0.8168	0.9794871794871794	0	100488at314145_143302_0:002280	42166557_42166712_-|42166041_42166148_-|42165748_42165894_-|42165244_42165408_-
100492at314145	Single	OW443371.1	83439444	83492596	-	940	148	0.9356	1.0	0	100492at314145_9793_0:004e5c	83492546_83492596_-|83491861_83491959_-|83480679_83480744_-|83478674_83478781_-|83474825_83474959_-|83453862_83453926_-|83439442_83439526_-
100509at314145	Single	OW443362.1	4825634	4827375	+	964	168	0.9034	0.915929203539823	0	100509at314145_9940_0:001844	4825635_4825796_+|4826652_4826825_+|4826913_4827037_+|4827216_4827378_+
10050at314145	Single	OW443364.1	100496378	100564906	+	5359	1063	0.8349	0.9976038338658147	0	10050at314145_132908_0:000031	100496379_100496463_+|100496922_100497173_+|100511066_100511232_+|100513784_100513815_+|100522462_100522511_+|100523844_100523926_+|100527303_100527464_+|100531306_100531364_+|100533882_100533902_+|100540597_100540841_+|100542334_100542419_+|100552498_100552801_+|100553902_100555205_+|100555820_100556039_+|100561119_100561329_+|100562626_100562814_+|100564159_100564360_+|100564826_100564906_+
100513at314145	Single	OW443376.1	67726400	67728320	+	730	155	0.8439	0.9828571428571429	0	100513at314145_225400_0:000347	67726401_67726471_+|67726581_67726661_+|67726784_67726914_+|67727104_67727165_+|67727949_67728071_+|67728270_67728323_+
100518at314145	Single	OW443361.1	124635333	124649340	-	1136	184	0.9127	1.0	0	100518at314145_419612_0:004720	124649290_124649340_-|124648712_124648808_-|124646686_124646802_-|124643028_124643147_-|124639076_124639214_-|124637698_124637778_-|124635331_124635483_-
100529at314145	Single	OW443380.1	18661913	18663239	-	1451	240	0.9579	1.0	0	100529at314145_30538_0:001690	18663196_18663239_-|18661911_18662781_-
10054at314145	Single	OW443360.1	104397939	104478125	-	6392	1218	0.8408	1.0	0	10054at314145_42254_0:003b63	104477921_104478125_-|104441785_104441914_-|104423320_104423420_-|104422375_104422452_-|104421044_104421096_-|104420318_104420444_-|104418459_104418634_-|104408006_104408288_-|104406494_104406754_-|104404103_104404303_-|104397937_104400707_-
100551at314145	Single	OW443379.1	40480263	40484713	-	821	131	0.9871	0.9627329192546584	0	100551at314145_225400_0:003b14	40484661_40484713_-|40484301_40484446_-|40483341_40483394_-|40482556_40482644_-|40481724_40481799_-|40480264_40480310_-
100561at314145	Single	OW443360.1	31560113	31568969	-	1063	160	0.9793	1.0	0	100561at314145_118797_0:001dbf	31568858_31568969_-|31563472_31563640_-|31562543_31562672_-|31560631_31560724_-|31560111_31560187_-
100565at314145	Single	OW443379.1	20202728	20205728	+	975	170	0.8802	0.9644444444444444	0	100565at314145_9838_0:0038af	20202729_20203137_+|20205487_20205728_+
10057at314145	Single	OW443361.1	91507111	91716784	-	5310	868	0.9971	1.0	0	10057at314145_9733_0:002834	91716734_91716784_-|91709971_91710093_-|91708428_91708519_-|91696402_91696519_-|91649922_91650042_-|91643593_91643721_-|91620374_91620453_-|91618490_91618528_-|91603883_91604434_-|91603118_91603184_-|91590255_91590338_-|91586173_91586348_-|91580616_91580888_-|91576038_91576229_-|91561802_91561922_-|91557562_91557848_-|91532478_91532648_-|91523417_91523533_-|91516042_91516103_-|91513407_91513515_-|91507109_91507210_-
100587at314145	Single	OW443373.1	4343910	4391311	-	1219	188	0.9913	1.0	0	100587at314145_118797_0:001fa6	4391180_4391311_-|4390842_4390941_-|4389089_4389187_-|4360515_4360652_-|4343908_4344128_-
100589at314145	Single	OW443371.1	52735931	52754268	-	1057	203	0.8776	1.0	0	100589at314145_109478_0:002ac7	52754172_52754268_-|52746186_52746294_-|52744703_52744808_-|52743418_52743451_-|52740991_52741108_-|52736903_52736948_-|52735932_52736132_-
10058at314145	Single	OW443363.1	132959134	133001338	+	5647	901	0.9528	0.9973166368515206	0	10058at314145_310752_0:001143	132959135_132959287_+|132965391_132965483_+|132968763_132968897_+|132970938_132971051_+|132971132_132971214_+|132973532_132973637_+|132974234_132974380_+|132975174_132975323_+|132979633_132979795_+|132980291_132980443_+|132981786_132981932_+|132982884_132983622_+|132984700_132984776_+|132998742_132998838_+|133000330_133001341_+
100592at314145	Single	OW443376.1	51925913	51926910	-	1165	185	0.8889	1.0	0	100592at314145_32536_0:002afa	51926839_51926910_-|51925911_51926597_-
100602at314145	Single	OW443379.1	11337575	11340649	+	1223	211	0.9246	1.0	0	100602at314145_118797_0:002242	11337576_11337642_+|11338000_11338138_+|11338446_11338528_+|11339735_11340154_+|11340606_11340652_+
100646at314145	Single	OW443360.1	32167329	32170406	-	861	143	0.8462	0.9375	0	100646at314145_89399_0:002dab	32170298_32170406_-|32169662_32169731_-|32168449_32168554_-|32168239_32168337_-|32168028_32168105_-|32167330_32167446_-
100652at314145	Duplicated	OW443362.1	67966327	67970483	-	996	154	0.9697	0.9753694581280788	0	100652at314145_29088_0:0040c2	67970372_67970483_-|67969039_67969162_-|67967721_67967794_-|67967126_67967271_-|67966328_67966465_-
100652at314145	Duplicated	OW443375.1	12864968	12865562	+	952	153	0.9293	0.9753694581280788	0	100652at314145_29088_0:0040c2	12864969_12865562_+
100657at314145	Single	OW443362.1	154305748	154326449	+	1102	179	0.9905	1.0	0	100657at314145_118797_0:001a34	154305749_154305899_+|154325968_154326452_+
100670at314145	Single	OW443379.1	45537489	45542015	+	1014	170	0.8127	1.0	0	100670at314145_74533_0:00233e	45537490_45537671_+|45541048_45541371_+|45541776_45542018_+
100684at314145	Single	OW443376.1	80719750	80721155	+	800	242	0.6949	0.7110481586402266	1	100684at314145_62698_0:00158c	80719751_80719975_+|80720612_80721158_+
100689at314145	Single	OW443360.1	212350621	212353275	+	1504	225	0.9676	1.0	0	100689at314145_118797_0:000946	212350622_212350763_+|212351013_212351135_+|212351563_212351670_+|212351928_212351994_+|212352639_212352835_+|212352981_212353109_+|212353208_212353278_+
100704at314145	Single	OW443360.1	116927406	116932432	+	685	131	0.7778	1.0	0	100704at314145_132908_0:000390	116927407_116927487_+|116930502_116930618_+|116931149_116931264_+|116931820_116931947_+|116932365_116932435_+
100725at314145	Single	OW443375.1	62313802	62321810	+	846	154	0.8182	1.0	2	100725at314145_30538_0:0046d1	62313803_62314159_+|62320091_62320191_+|62321058_62321198_+|62321730_62321813_+
100736at314145	Single	OW443374.1	45000596	45025216	+	1115	166	0.8458	0.9285714285714286	1	100736at314145_9938_0:0048d6	45000597_45000866_+|45003434_45003492_+|45012077_45012170_+|45012389_45012473_+|45014977_45015035_+|45016820_45016930_+|45025104_45025219_+
100746at314145	Single	OW443377.1	72411599	72424090	-	658	115	0.9116	0.9240506329113924	0	100746at314145_143302_0:001344	72424024_72424090_-|72420950_72421017_-|72416595_72416649_-|72415689_72415731_-|72413714_72413819_-|72411597_72411698_-
100753at314145	Single	OW443379.1	28937798	28944242	-	1131	183	0.963	1.0	0	100753at314145_9838_0:0047b7	28944184_28944242_-|28941811_28941919_-|28940545_28940680_-|28939609_28939701_-|28938511_28938633_-|28937979_28938055_-|28937796_28937849_-
100776at314145	Single	OW443371.1	91596745	91605962	-	765	123	0.8976	1.0	0	100776at314145_109478_0:004557	91605700_91605962_-|91603740_91603863_-|91596743_91596856_-
100799at314145	Single	OW443361.1	94126572	94135909	+	953	148	1.0	0.9627659574468085	0	100799at314145_32536_0:00419e	94126573_94126650_+|94127220_94127258_+|94128787_94128849_+|94129183_94129333_+|94129829_94129980_+|94135850_94135912_+
10079at314145	Single	OW443364.1	120647392	120650860	-	5225	983	0.8824	1.0	0	10079at314145_109478_0:001452	120647390_120650860_-
100805at314145	Single	OW443371.1	82884202	82891510	-	918	179	0.9944	0.994475138121547	0	100805at314145_29088_0:001ee0	82891372_82891510_-|82889342_82889423_-|82888188_82888299_-|82885365_82885543_-|82884200_82884230_-
100806at314145	Single	OW443363.1	19821775	19824217	-	1009	162	0.9697	1.0	0	100806at314145_30538_0:0026a9	19824127_19824217_-|19821773_19822278_-
100807at314145	Single	OW443371.1	38883363	38883948	+	993	164	0.9846	1.0	0	100807at314145_118797_0:004071	38883364_38883951_+
100808at314145	Single	OW443370.1	86752475	86762363	-	965	180	0.9231	1.0	0	100808at314145_109478_0:002427	86762175_86762363_-|86752473_86752871_-
100809at314145	Single	OW443375.1	79364907	79377039	+	953	168	0.8878	1.0	0	100809at314145_109478_0:00150c	79364908_79365274_+|79371050_79371113_+|79376883_79377042_+
100818at314145	Single	OW443367.1	114514829	114532643	+	625	155	0.6095	1.0	0	100818at314145_89399_0:001da2	114514830_114514902_+|114515002_114515126_+|114522243_114522365_+|114523488_114523598_+|114529495_114529549_+|114530340_114530394_+|114532571_114532646_+
100822at314145	Single	OW443372.1	36169093	36205046	-	934	164	0.9363	0.9103139013452914	0	100822at314145_186990_0:002c9a	36204930_36205046_-|36195295_36195443_-|36182282_36182383_-|36178444_36178458_-|36176802_36176840_-|36174154_36174214_-|36169091_36169219_-
100833at314145	Single	OW443370.1	7003600	7007665	-	943	155	0.8905	0.975609756097561	0	100833at314145_9823_0:003bd5	7007561_7007665_-|7007317_7007497_-|7005103_7005225_-|7003598_7003794_-
100836at314145	Single	OW443362.1	7360115	7370163	+	973	192	0.8435	1.0	0	100836at314145_89462_0:003bd3	7360116_7360146_+|7361230_7361538_+|7363747_7363839_+|7365003_7365030_+|7365768_7365811_+|7367029_7367063_+|7370014_7370166_+
100841at314145	Single	OW443376.1	71900143	71900892	+	1059	174	0.8211	1.0	1	100841at314145_291302_0:003959	71900144_71900895_+
100858at314145	Single	OW443379.1	11761003	11765554	-	1363	198	0.9333	0.9060402684563759	0	100858at314145_30521_0:000aaa	11765484_11765554_-|11764031_11764064_-|11763081_11763170_-|11762173_11762457_-|11761915_11762018_-|11761468_11761645_-|11761001_11761051_-
100860at314145	Single	OW443361.1	125399192	125399651	-	762	152	0.9346	1.0	0	100860at314145_118797_0:000b1a	125399190_125399651_-
100861at314145	Single	OW443368.1	24619543	24628928	+	1076	158	0.9099	0.9429824561403509	0	100861at314145_42254_0:00193a	24619544_24619773_+|24623873_24624088_+|24628712_24628931_+
100863at314145	Single	OW443362.1	108416400	108419009	-	767	141	0.8903	0.9810126582278481	0	100863at314145_9615_0:000970	108418835_108419009_-|108418690_108418724_-|108416401_108416655_-
100867at314145	Single	OW443375.1	80697695	80704548	+	812	148	0.9394	0.9939759036144579	0	100867at314145_109478_0:003390	80697696_80697785_+|80700261_80700336_+|80701507_80701611_+|80702514_80702592_+|80702691_80702739_+|80704453_80704551_+
