contig	length	mean.cov	median.cov	gc	uniq.kmer	Ns	n.ratio
Utg634574	9549097	55.58116641	55	42.47	0.986061443	4742020	0.496593552
Utg635198	9534452	57.83997308	57	46.19	0.98747144	4899027	0.513823658
Utg635196	9507374	53.70602675	53	45.76	0.985412681	4434844	0.46646361
Utg634666	9434171	55.56358806	55	39.77	0.983314433	4839080	0.512931131
Utg634844	9378186	55.11807666	55	38.82	0.981598172	5089908	0.542739076
Utg635262	9301872	55.46139908	55	42.3	0.985958852	4847635	0.521146174
Utg635026	9272212	53.46990974	53	38.45	0.980745171	4991102	0.53828601
Utg635040	9226561	54.63549396	55	40.03	0.981094941	4980905	0.539844152
Utg634588	9126149	53.40687175	53	41.77	0.984329195	5083174	0.556990029
Utg635218	9053340	54.97033753	55	39.28	0.982483146	4953327	0.547127027
Utg635016	9035047	55.7576732	56	40.61	0.985534749	4681274	0.518123923
Utg634852	8852938	57.57473214	55	42.9	0.981651703	4590333	0.518509561
Utg634808	8593646	53.3916276	53	37.39	0.980078452	4739135	0.551469656
Utg634918	8518131	56.54476605	56	42.71	0.983679969	4348032	0.510444369
Utg635244	8300781	55.19600835	55	42.43	0.983129111	4638980	0.558860666
Utg634670	8248692	52.32341698	52	37.48	0.984455174	4403698	0.533866218
Utg635144	8223668	53.27772437	53	37.9	0.983977231	4370952	0.531508811
Utg635350	8133810	57.17743438	56	41.44	0.985789664	4014462	0.493552468
Utg634528	8109052	56.05502462	56	40.29	0.984333009	4114952	0.507451673
Utg634978	8074030	55.63913338	55	46.18	0.984064789	4216584	0.522240319
Utg634962	8023252	53.36981042	53	37.2	0.984815168	4140446	0.516055834
Utg634626	7963650	53.37423947	53	37.49	0.978730113	4241389	0.532593597
Utg635028	7932169	57.63814925	57	47.65	0.985745909	3754549	0.473331947
Utg634822	7915984	58.10559808	57	44.68	0.978259831	4355831	0.550257681
Utg634984	7913234	54.53242484	54	40.64	0.983952659	4106777	0.518975807
Utg634610	7872859	27.51077528	27	41.62	0.979597355	4818141	0.611993813
Utg634728	7842124	53.19419568	53	37.74	0.978961769	4416449	0.563170003
Utg635726	7807442	53.41585898	53	48.85	0.988626793	3658746	0.468622886
Utg634912	7608842	51.28514956	53	44.06	0.978931009	4393289	0.577392591
Utg634976	7539768	54.63968159	54	42.49	0.988161847	3539179	0.469401578
Utg634914	7515441	53.7527582	53	37.35	0.983371106	3873927	0.515462366
Utg634678	7457150	54.14456907	54	38.26	0.982621121	3791469	0.508434053
Utg634784	7444800	56.90077871	57	43.45	0.983636261	3901770	0.524093327
Utg634572	7425688	56.36331734	56	45.47	0.985351014	4167735	0.561259105
Utg634552	7341270	54.93082172	55	43.04	0.982582729	4125183	0.561916807
Utg635360	7222978	56.81990739	56	51.23	0.988302863	3343251	0.46286324
Utg634594	7127528	55.7523224	55	42.79	0.982688073	3685479	0.517076748
Utg635272	7010664	54.0962988	54	39.67	0.982980626	3689126	0.526216347
Utg634694	6985099	56.38444677	56	44.02	0.97905351	4222636	0.604520566
Utg635158	6845537	56.39171375	56	43.03	0.983841752	3948090	0.576739268
Utg634564	6790492	27.07626238	27	40	0.978148299	4046446	0.595898795
Utg635080	6745351	54.869494	54	38.57	0.983211499	3544063	0.52540824
Utg635058	6713494	54.99155537	55	42.31	0.985171744	3513723	0.523382161
Utg634938	6682062	57.3519591	57	44.74	0.985331006	3904803	0.584370962
Utg634924	6677429	54.06808677	54	39.54	0.982829364	3678501	0.550885827
Utg634576	6642003	55.74410306	55	42.83	0.984315614	3923715	0.590742732
Utg635076	6610962	55.10513218	55	43.43	0.98463902	3503032	0.529882338
Utg634738	6586680	53.66507211	53	38.26	0.982860955	3470699	0.526926919
Utg635392	6568691	59.31659095	58	47.99	0.98695067	2992601	0.455585595
Utg634634	6566413	53.92850158	53	39.58	0.979368198	3675261	0.559706037
Utg634792	6541447	56.90780323	57	44.59	0.983781428	3677085	0.562121041
Utg634734	6497979	57.42154996	55	40.47	0.982845125	3621111	0.557267267
Utg634866	6487292	52.31428467	52	39.67	0.979424108	3567304	0.549891079
Utg634908	6276710	54.5401427	54	39.43	0.977998502	3663757	0.583706592
Utg635164	6169216	54.42609259	54	41.95	0.979448134	3817538	0.618804399
Utg634674	5987108	53.87982816	53	39.4	0.98073495	3548066	0.592617671
Utg635168	5983431	55.42545075	55	43.97	0.982467537	3080784	0.514885857
Utg634846	5948135	52.20698925	52	36.98	0.982937431	3153946	0.53024116
Utg635098	5930972	54.96118344	55	40.6	0.98283465	3064011	0.516611948
Utg634810	5813106	51.61825675	51	36.24	0.983915147	3051526	0.524938991
Utg635294	5812903	52.46778377	52	38.16	0.984070672	3241085	0.557567364
Utg635012	5791985	53.87746467	54	43.73	0.987905356	3203395	0.553073773
Utg634586	5757184	53.92459612	54	41.13	0.984863337	3361163	0.583820666
Utg634968	5742470	51.72307184	51	36.47	0.983026458	2852941	0.496814263
Utg634602	5666977	57.50297619	57	42.55	0.98338172	3128735	0.55209947
Utg634652	5653980	54.62314056	54	39.89	0.983862989	2924990	0.517332923
Utg634770	5631925	52.86536258	53	37.94	0.985711947	2891020	0.513327148
Utg635508	5629582	52.07393078	52	37.14	0.981264832	3077659	0.546694053
Utg634556	5627521	53.97522064	54	38.56	0.981008367	3093323	0.549677736
Utg635268	5558694	54.27461966	54	41.04	0.975936115	3267976	0.587903562
Utg634814	5471385	54.08403107	54	41.53	0.98087583	3357255	0.613602406
Utg635558	5470001	56.70104963	55	40.91	0.985365627	2876310	0.525833542
Utg634708	5399879	56.42599608	56	42.44	0.979259189	2779135	0.514666162
Utg634604	5397574	54.95553591	55	39.95	0.980596464	2934154	0.543606072
Utg634988	5397265	57.1367704	57	47.15	0.986793794	3156975	0.584921252
Utg634798	5364127	53.49664847	53	39.23	0.982014796	3043929	0.567460278
Utg634764	5305969	56.29893703	56	39.72	0.981314338	2815709	0.530668197
Utg635014	5297891	49.77162	50	35.7	0.975971982	3002016	0.566643595
Utg635134	5283650	49.42956141	49	35.75	0.982692023	2799753	0.529889944
Utg634772	5279846	54.13020195	54	40.22	0.980913576	2995400	0.567327153
Utg634532	5273291	53.71097104	53	44.48	0.986758563	2422061	0.45930729
Utg634704	5263473	54.80401277	55	43.34	0.983358845	2744668	0.5214557
Utg634836	5258890	56.29113753	54	39.05	0.974264352	2995624	0.569630473
Utg634878	5203013	49.78872596	50	35.73	0.976459515	3029124	0.582186514
Utg635334	5183456	51.96309202	52	38.4	0.973617165	3173261	0.612190207
Utg635206	5112564	54.01454714	54	40.76	0.975386774	2925568	0.572231076
Utg635304	5050398	54.05566582	55	45.89	0.97839686	3140730	0.621877721
Utg635050	5045551	25.93507669	26	36.62	0.972616008	3059912	0.606457451
Utg634876	5034881	56.19931223	56	44.13	0.986059218	2632193	0.522791502
Utg634700	4989332	55.70560122	56	45.2	0.984440562	2812511	0.563704921
Utg634752	4977083	55.29158607	55	40.65	0.981041842	2832547	0.569117895
Utg635106	4928679	52.19313201	52	37.79	0.98302499	2817525	0.571659262
Utg635212	4857182	54.24605494	54	42.69	0.981436147	2806608	0.577826402
Utg634578	4827333	27.59033849	27	41.44	0.973487998	2650283	0.549015989
Utg635650	4696473	53.79723386	54	40.62	0.980304754	2688664	0.572485778
Utg634544	4691552	54.14428848	54	38.24	0.979074471	2493185	0.531420093
Utg634972	4611149	52.92644258	53	41.16	0.979174753	2644085	0.573411312
Utg635190	4564194	53.4952411	53	41.9	0.981262628	2848720	0.624145249
Utg634910	4560792	52.84228223	53	37.64	0.984267816	2324964	0.509771987
Utg634922	4519839	52.62630634	52	40.1	0.983445547	2398505	0.530661601
Utg634536	4466005	57.06367181	57	46.63	0.987562947	2372887	0.531322065
Utg634644	4464862	52.60745834	51	36.13	0.975252998	2523191	0.565121834
Utg634554	4461223	52.07088206	52	36.93	0.980320601	2351905	0.527188397
Utg635032	4439529	53.70189368	53	46.43	0.989771231	1735133	0.390837181
Utg635004	4438793	58.29130105	58	46.71	0.982152601	2197845	0.495144739
Utg634948	4417149	50.06918003	50	34.45	0.985480888	2240631	0.507257283
Utg635122	4400916	51.19884868	51	38.66	0.984962413	2016357	0.458167572
Utg634654	4395105	52.74193548	53	38.29	0.983066858	2235704	0.508680452
Utg635384	4392079	54.62045591	54	39.78	0.983912524	2152010	0.489975249
Utg634930	4375732	55.57491347	56	47.18	0.987585356	2327614	0.531937056
Utg634560	4355285	26.52268963	26	37.85	0.976485181	2350543	0.539699009
Utg635398	4350055	54.68034569	54	43.25	0.979706158	2384935	0.548253988
Utg635450	4331387	51.16698943	51	36.04	0.979511955	2298544	0.530671584
Utg635224	4289048	55.0959579	55	52.06	0.987426369	1968909	0.459055016
Utg634892	4285171	52.42678571	52	38.01	0.977792275	2277738	0.531539582
Utg634986	4280647	51.48861501	51	36.19	0.981895048	2261483	0.528304016
Utg635086	4273900	54.50211065	55	41.18	0.977257748	2437660	0.570359625
Utg634744	4222159	52.91142534	53	38.4	0.983680971	2243185	0.531288613
Utg635320	4207478	52.33558711	53	40.33	0.980840481	2153705	0.511875523
Utg635172	4187104	52.87161898	53	37.79	0.973314731	2268019	0.541667702
Utg634780	4185664	57.17160298	57	48.88	0.979377687	2018790	0.482310572
Utg634858	4173849	61.93110587	57	44.54	0.979562076	2315715	0.554815232
Utg634616	4166415	28.10896159	27	40.56	0.981004919	2323917	0.55777377
Utg635340	4155576	53.11223441	53	41.13	0.982187579	2501633	0.601994284
Utg634758	4147205	52.22443133	52	37.83	0.980601131	2322263	0.559958575
Utg635242	4140072	53.03924485	53	38.31	0.979873666	2354317	0.568665714
Utg635590	4127596	53.59780537	54	38.75	0.97771739	2348883	0.569068048
Utg634964	4121239	55.39894235	55	39.09	0.984054322	1987476	0.482252061
Utg634906	4100837	51.82759418	51	37.37	0.972093108	2341492	0.570979046
Utg634838	4044167	43.78837032	46	39.96	0.979772563	2258761	0.558523177
Utg634640	4023097	54.33098924	54	37.68	0.982645707	2061450	0.512403753
Utg635038	4007807	50.74178848	51	36.78	0.977783574	2312489	0.576996098
Utg635744	3974816	58.07628236	58	51.07	0.984639505	2085593	0.524701772
Utg634996	3922805	55.20601922	55	41.74	0.975574504	2362527	0.602254509
Utg636114	3890652	54.34754402	54	51.45	0.989088261	1731717	0.445096863
Utg634702	3878089	55.25379689	55	40.66	0.978171025	2026150	0.522460934
Utg634612	3858855	54.10850064	54	46.79	0.984919961	1707795	0.442565217
Utg635494	3836089	51.37924351	51	47.78	0.989393175	1607209	0.418970728
Utg635342	3812277	55.98327738	56	43.92	0.980099723	1857633	0.487276502
Utg634748	3792259	52.39087277	53	36.67	0.985998658	1745875	0.460378629
Utg635210	3780387	55.64305093	55	45.9	0.978820123	2067223	0.546828407
Utg635208	3752895	51.53124604	51	37.08	0.980651113	2076263	0.55324303
Utg635162	3749987	50.66285028	51	35.68	0.981376246	2002988	0.534131985
Utg635684	3702003	57.58894122	55	45.11	0.981104526	2078662	0.561496574
Utg634720	3675951	49.59691185	49	34.79	0.981569015	2001149	0.544389465
Utg635222	3675942	52.77823514	53	46.26	0.987792543	1916000	0.52122694
Utg634854	3663986	53.23540756	53	39.05	0.982477831	2051503	0.559910163
Utg634970	3646478	26.33400324	25	36.89	0.9769967	2272658	0.623247418
Utg634980	3641677	53.11302757	53	38.46	0.980815696	1946972	0.534636103
Utg634550	3613176	52.78844509	53	37.94	0.984131618	1826315	0.50545974
Utg635200	3610209	50.73486131	51	36.76	0.97930399	2284411	0.632764197
Utg635182	3605742	56.54374132	55	40.84	0.980759033	1967351	0.545616131
Utg635044	3596439	54.53394178	54	52.18	0.983622948	1623294	0.451361472
Utg635424	3581419	53.12361038	52	45.57	0.975791179	1637729	0.457284948
Utg635142	3560853	51.35770304	51	36.65	0.981239419	1887596	0.530096581
Utg634920	3487853	52.21014642	52	38.15	0.983753486	1685954	0.483378743
Utg635834	3465144	54.93711677	55	41.7	0.985962061	1661162	0.47939191
Utg634522	3459074	54.92567474	54	44.53	0.975018204	2056188	0.594433077
Utg634848	3404884	54.18068622	54	41.63	0.981064637	1947477	0.571965741
Utg636000	3388698	54.24867351	54	41.7	0.982418211	1794358	0.529512515
Utg635138	3249431	55.71313693	56	40.45	0.984051972	1960632	0.603377022
Utg634870	3228627	27.32338011	27	40.03	0.971774461	1853925	0.574214674
Utg635130	3117374	27.96946276	27	42.32	0.97038764	2079734	0.667142922
Utg635580	3093887	26.42498445	26	40.87	0.978117643	1801704	0.582343182
Utg635054	3092384	53.80565588	54	38.51	0.978834846	1712459	0.553766609
Utg635412	3042422	53.44808872	53	38.24	0.977001775	1701454	0.559243261
Utg635456	3040752	57.12896857	55	39.97	0.972120339	1605963	0.528146656
Utg635470	3022316	52.93950656	53	43.33	0.989335002	1456917	0.482053167
Utg635872	3020942	55.24455917	55	45.65	0.981548921	1848492	0.611892582
Utg635238	3018995	56.56964031	56	41.89	0.979437823	1651539	0.547049266
Utg634530	2985146	56.12959427	56	47.37	0.982574957	1430619	0.479245906
Utg634540	2972401	50.67472029	51	36.55	0.980352027	1683046	0.566224409
Utg635570	2956301	58.05775564	53	38.34	0.972956191	1740293	0.588672466
Utg634684	2943665	52.78241116	52	37.69	0.979848494	1596293	0.542280796
Utg634936	2931129	51.90615097	52	38.11	0.970987237	1832237	0.625095995
Utg635260	2912789	52.68418004	53	37.43	0.98027033	1573106	0.540068642
Utg634548	2873791	51.46430688	52	38.49	0.979915782	1544704	0.537514384
Utg635286	2840011	50.82664673	51	36.57	0.975125757	1640290	0.577564664
Utg634786	2835128	50.70061958	51	35.84	0.983580952	1485718	0.524039126
Utg636096	2817849	53.45304929	53	44.55	0.986320366	1519467	0.539229391
Utg635070	2788317	49.21537291	49	34.65	0.982368421	1468504	0.526663217
Utg635258	2744293	52.30264523	53	41.46	0.974929162	1796854	0.654760261
Utg634648	2733940	53.82417962	54	39.67	0.972656461	1563159	0.571760536
Utg635302	2700664	51.8235346	52	37.6	0.980518662	1518252	0.562177302
Utg635880	2691867	343.2852444	58	57.02	0.980729795	1127117	0.418711994
Utg635110	2690788	52.51646799	52	35.96	0.985126338	1222261	0.454239056
Utg634954	2681693	27.81110521	26	38.75	0.972748558	1620771	0.6043835
Utg635116	2676539	54.92561837	55	40.37	0.984409347	1508489	0.563596869
Utg635178	2675421	55.29643143	56	41.41	0.986777848	1521299	0.568620415
Utg634894	2671991	57.47600108	57	48.18	0.98797886	1441224	0.539382056
Utg634716	2645606	52.68186744	53	39.87	0.98047188	1390888	0.525735125
Utg635096	2642586	50.33423497	50	35.36	0.98258804	1352713	0.511889868
Utg635390	2624519	49.49004164	49	34.8	0.981605289	1307808	0.49830388
Utg634868	2622222	49.2710356	49	35.82	0.977772362	1551048	0.591501406
Utg635220	2611146	55.09037256	55	38.58	0.978933267	1504427	0.576155833
Utg635466	2597526	53.24699072	54	43.07	0.982944334	1429213	0.550220864
Utg634676	2567484	27.50435101	27	42.1	0.979735416	1314215	0.511868818
Utg635128	2552284	57.88079593	55	42.97	0.985753863	1171307	0.458925026
Utg634756	2545075	53.94700599	54	40.19	0.977218626	1356890	0.533143424
Utg635534	2540476	55.48769596	55	47.16	0.955235996	1453127	0.571990052
Utg634832	2531495	52.58841094	52	37.65	0.980158476	1432264	0.56577793
Utg634546	2525606	52.64608745	52	38.42	0.975947938	1527440	0.604781585
Utg635576	2498204	50.66738661	51	36.94	0.971199156	1483682	0.593899457
Utg634606	2492389	54.36200171	54	39.54	0.977775236	1385785	0.556006707
Utg634686	2488918	26.9726342	27	38.29	0.975613882	1558970	0.626364549
Utg635192	2427250	52.95089726	53	42.25	0.983755331	1268747	0.522709651
Utg634902	2394393	26.32787047	26	38.14	0.973938193	1541208	0.643673783
Utg634990	2388157	53.35727826	53	42.55	0.982148374	1468955	0.615099845
Utg635104	2369352	51.82194101	52	39.21	0.979336612	1342963	0.56680603
Utg634904	2366764	55.29537509	55	38.84	0.980242928	1255250	0.530365512
Utg635982	2362601	58.21646066	56	43.14	0.981179706	1246672	0.527669293
Utg635436	2339738	28.48242613	28	42.88	0.975895804	1327369	0.567315229
Utg634802	2336071	49.2395566	49	36.17	0.96591267	1504082	0.64385115
Utg635356	2297274	55.73239725	55	53.45	0.990103428	889648	0.387262468
Utg635246	2296671	52.40925524	52	36.84	0.98129245	1233990	0.537295068
Utg635362	2286506	52.73728549	52	40.19	0.982237517	1237448	0.541196043
Utg636488	2284867	56.18639084	56	44.67	0.987402336	1366176	0.597923643
Utg635234	2277915	54.70356194	53	42.59	0.975935367	1430554	0.628010264
Utg635332	2256262	55.2973029	55	45.65	0.978041057	1340373	0.594067976
Utg634882	2255483	49.14985833	49	35.1	0.978924432	1340411	0.594290004
Utg635666	2243196	48.92127973	49	34.95	0.981942486	1187171	0.529231953
Utg635406	2223427	52.62842173	53	43.29	0.978360731	1358511	0.610998697
Utg635524	2219684	53.78737086	54	38.42	0.980898621	1269378	0.571873294
Utg634850	2203554	52.70837741	53	38.61	0.976659529	1264358	0.573781264
Utg635560	2195796	58.16299179	58	53.7	0.989858823	958162	0.43636203
Utg635920	2179019	53.4603192	53	38.03	0.980322158	1207282	0.554048404
Utg635692	2171563	70.35570033	54	48.55	0.982240858	1030097	0.47435741
Utg635152	2169483	50.98484848	50	36.62	0.972559484	1353969	0.624097538
Utg635316	2138513	54.98226436	55	43.19	0.969057568	1125343	0.526226869
Utg635906	2115785	52.81541379	53	39.74	0.982175748	1099497	0.51966386
Utg635584	2110733	57.85466231	58	46.03	0.98557108	1158613	0.548914998
Utg635520	2091819	54.70984337	55	38.71	0.978528015	1216510	0.581556052
Utg634820	2090820	51.84459843	53	46.05	0.973177731	1163924	0.556683024
Utg634840	2081426	23.93316167	24	35.42	0.96793325	1173946	0.564010443
Utg634940	2067380	47.76499022	48	35.28	0.971788017	1320205	0.638588455
Utg634730	2065875	28.7613688	28	41.54	0.977773175	1156161	0.559647123
Utg635656	2047347	52.13417512	52	35.93	0.981862327	1000900	0.48887658
Utg635504	2033994	54.29935408	54	41.14	0.978767348	1099615	0.540618606
Utg634932	2006417	52.47829716	52	38.32	0.981441045	1142922	0.569633331
Utg635600	1985556	53.03018109	53	40.87	0.984040655	958086	0.482527816
Utg635760	1966635	56.83090625	57	49.17	0.980654206	1127401	0.573263976
Utg635030	1954592	59.03441173	55	41.73	0.976324742	1096314	0.56089148
Utg634856	1948553	48.45127639	48	35.02	0.978686904	1099435	0.564231509
Utg634562	1930974	53.44659132	53	38.55	0.975769404	1090795	0.564893675
Utg635640	1929116	53.26939864	53	38.75	0.982588002	959644	0.497452719
Utg634998	1905010	27.7914787	27	39.07	0.973038723	1179476	0.619144256
Utg635632	1897450	54.07308176	54	45.63	0.986243201	943702	0.497352763
Utg635312	1890051	56.00470798	54	47.71	0.978775165	997008	0.527503226
Utg635442	1868276	48.43882175	48	34.74	0.981281292	1018255	0.545023862
Utg634706	1829313	52.9712607	53	40.91	0.977715585	1078402	0.589512019
Utg635702	1782793	51.34732466	51	38.31	0.980093091	1002915	0.562552691
Utg635710	1781874	49.88879979	50	35.07	0.980298688	1085239	0.609043625
Utg634714	1752598	53.62954295	53	40.5	0.977700081	1062928	0.606487055
Utg634950	1748865	53.03169913	53	36.47	0.98303224	923107	0.527832051
Utg635844	1732925	27.02669235	27	41.63	0.958213098	1219768	0.703878125
Utg634698	1731726	48.97710548	48	34.4	0.977026021	984856	0.568713526
Utg635232	1719386	51.96013841	53	47.58	0.992080569	703007	0.408870957
Utg634754	1695993	55.06998466	56	40.05	0.980768112	938602	0.553423275
Utg635426	1660499	60.4879977	61	49.94	0.991096192	768792	0.462988535
Utg635292	1659022	24.90991888	24	37.75	0.961237629	1243911	0.749785717
Utg635830	1654020	51.85982388	52	36.94	0.974130504	1015206	0.61378097
Utg635550	1641318	55.86419226	56	43.16	0.971365074	1033107	0.62943744
Utg635476	1639126	56.01912489	56	39.49	0.981431039	910035	0.555195269
Utg634958	1632710	58.14712215	57	46.17	0.985037582	913549	0.559529249
Utg635034	1591393	52.42303665	52	38.33	0.983005772	858114	0.539221927
Utg635148	1571196	25.81269302	26	38.05	0.96132176	1047514	0.66669849
Utg634742	1570236	27.91491929	28	41.93	0.972208254	992372	0.631989077
Utg634804	1564233	53.60218866	54	51.89	0.985550719	718535	0.459352922
Utg635498	1560847	49.89344764	50	36.82	0.965168916	1054045	0.675303217
Utg635824	1557911	57.62656107	57	50.97	0.984658346	815754	0.523620412
Utg634890	1556397	48.60146924	48	34.85	0.979517748	837787	0.538286183
Utg634712	1533455	54.04860248	54	40.32	0.978421056	869008	0.566699381
Utg635516	1522884	54.16353557	54	41.17	0.979342471	889055	0.583796927
Utg635734	1513001	57.34285714	57	50.16	0.984675291	724056	0.478556194
Utg635878	1489659	55.46693484	55	46.85	0.986942368	892340	0.599022998
Utg634974	1488207	52.67413572	52	44.7	0.978758661	831013	0.558398798
Utg635102	1471321	53.23539997	54	38.17	0.974895333	808479	0.549491919
Utg635230	1445098	49.92329218	50	35.08	0.981597456	804417	0.556652213
Utg635228	1410707	54.67397538	55	46.56	0.986357475	814718	0.577524603
Utg635176	1407690	27.66002701	26	37.19	0.980258287	768442	0.545888654
Utg635468	1391381	55.04722793	55	43.17	0.974642284	827908	0.595026093
Utg635170	1389308	52.62920962	52	38.63	0.970100888	868556	0.625171668
Utg636384	1379697	51.79737303	53	38.99	0.98120091	739802	0.536206138
Utg635574	1359677	49.96733977	49	34.25	0.984796178	719015	0.528813093
Utg635474	1349127	26.97112814	27	44.59	0.969866022	676762	0.501629572
Utg635264	1336674	53.47006256	54	38.49	0.973636649	748022	0.559614386
Utg635602	1332257	53.24206349	52	39.2	0.986561747	740646	0.555933277
Utg635610	1328415	53.66267857	52	52.83	0.982618936	694663	0.522926194
Utg635186	1324976	52.50783813	53	47.84	0.992594306	477457	0.360351433
Utg635188	1319544	27.86472572	28	42.11	0.977293256	753999	0.571408759
Utg635382	1315293	50.02253219	50	37.27	0.979152409	737293	0.560554188
Utg635992	1312985	47.90348924	48	34.94	0.981872095	751968	0.572716368
Utg635094	1296146	55.05669827	55	43.62	0.98239282	744022	0.574026383
Utg634944	1290694	25.23090942	24	38.24	0.974605738	772681	0.598655452
Utg635278	1277487	47.37869063	47	36.51	0.963080928	834378	0.65314011
Utg635124	1264348	50.16911065	50	39.31	0.973491774	742723	0.587435579
Utg636788	1256784	54.88478639	55	37.27	0.977722117	705467	0.561327165
Utg634608	1254664	53.38553318	53	40.86	0.980796826	647805	0.516317516
