contig	length	mean.cov	median.cov	gc	uniq.kmer
Utg635026	9272212	53.32887288	53	38.45	0.980745171
Utg635040	9226561	55.51391813	54	40.03	0.981094941
Utg634588	9126149	53.37133756	53	41.77	0.984329195
Utg635218	9053340	55.0445768	55	39.28	0.982483146
Utg635016	9035047	55.8645112	56	40.61	0.985534749
Utg634852	8852938	61.91961224	55	42.9	0.981651703
Utg634808	8593646	53.44215378	53	37.39	0.980078452
Utg634918	8518131	56.62909162	56	42.71	0.983679969
Utg635244	8300781	55.17880187	55	42.43	0.983129111
Utg634670	8248692	52.489132	52	37.48	0.984455174
Utg635144	8223668	53.23783941	53	37.9	0.983977231
Utg635350	8133810	57.65052036	56	41.44	0.985789664
Utg634528	8109052	56.80657929	56	40.29	0.984333009
Utg634978	8074030	55.73838215	55	46.18	0.984064789
Utg634962	8023252	53.42180067	53	37.2	0.984815168
Utg634626	7963650	71.84363615	53	37.49	0.978730113
Utg635028	7932169	62.85721164	57	47.65	0.985745909
Utg634822	7915984	59.24525302	57	44.68	0.978259831
Utg634984	7913234	54.59537364	54	40.64	0.983952659
Utg634610	7872859	27.54041885	27	41.62	0.979597355
Utg634728	7842124	53.29011063	53	37.74	0.978961769
Utg635726	7807442	53.43912673	53	48.85	0.988626793
Utg634912	7608842	52.56403964	53	44.06	0.978931009
Utg634976	7539768	54.66621743	54	42.49	0.988161847
Utg634914	7515441	53.81800966	53	37.35	0.983371106
Utg634678	7457150	54.3460076	54	38.26	0.982621121
Utg634784	7444800	56.79210348	57	43.45	0.983636261
Utg634572	7425688	56.33564911	56	45.47	0.985351014
Utg634552	7341270	55.02126002	55	43.04	0.982582729
Utg635360	7222978	58.34065898	56	51.23	0.988302863
Utg634594	7127528	55.73660685	56	42.79	0.982688073
Utg635272	7010664	54.1133543	54	39.67	0.982980626
Utg634694	6985099	56.72449805	56	44.02	0.97905351
Utg635158	6845537	56.44812454	56	43.03	0.983841752
Utg634564	6790492	27.36494021	27	40	0.978148299
Utg635080	6745351	54.82625985	54	38.57	0.983211499
Utg635058	6713494	54.94567164	55	42.31	0.985171744
Utg634938	6682062	57.31132412	57	44.74	0.985331006
Utg634924	6677429	57.2508596	54	39.54	0.982829364
Utg634576	6642003	55.79732909	56	42.83	0.984315614
Utg635076	6610962	55.38333936	55	43.43	0.98463902
Utg634738	6586680	53.83038678	54	38.26	0.982860955
Utg635392	6568691	59.49161668	58	47.99	0.98695067
Utg634634	6566413	81.73564425	53	39.58	0.979368198
Utg634792	6541447	56.98843994	57	44.59	0.983781428
Utg634734	6497979	58.28908587	55	40.47	0.982845125
Utg634866	6487292	52.38495413	52	39.67	0.979424108
Utg634908	6276710	55.11436	55	39.43	0.977998502
Utg635164	6169216	54.35036355	54	41.95	0.979448134
Utg634674	5987108	54.08613006	54	39.4	0.98073495
Utg635168	5983431	55.6048674	55	43.97	0.982467537
Utg634846	5948135	52.35862957	52	36.98	0.982937431
Utg635098	5930972	55.1024772	55	40.6	0.98283465
Utg634810	5813106	52.00987805	52	36.24	0.983915147
Utg635294	5812903	52.44875087	52	38.16	0.984070672
Utg635012	5791985	53.90427548	54	43.73	0.987905356
Utg634586	5757184	54.00762284	54	41.13	0.984863337
Utg634968	5742470	51.68774274	51	36.47	0.983026458
Utg634602	5666977	57.46888786	57	42.55	0.98338172
Utg634652	5653980	54.73926574	54	39.89	0.983862989
Utg634770	5631925	52.7896735	53	37.94	0.985711947
Utg635508	5629582	52.07246377	52	37.14	0.981264832
Utg634556	5627521	54.08122022	54	38.56	0.981008367
Utg635268	5558694	56.44209113	54	41.04	0.975936115
Utg634814	5471385	54.15135392	54	41.53	0.98087583
Utg635558	5470001	66.6346929	55	40.91	0.985365627
Utg634708	5399879	56.65584502	56	42.44	0.979259189
Utg634604	5397574	71.06770627	55	39.95	0.980596464
Utg634988	5397265	57.02090485	57	47.15	0.986793794
Utg634798	5364127	53.61662787	53	39.23	0.982014796
Utg634764	5305969	56.35021542	56	39.72	0.981314338
Utg635014	5297891	49.91457354	50	35.7	0.975971982
Utg635134	5283650	49.67711978	50	35.75	0.982692023
Utg634772	5279846	54.14436083	54	40.22	0.980913576
Utg634532	5273291	53.69265598	53	44.48	0.986758563
Utg634704	5263473	54.89812805	55	43.34	0.983358845
Utg634836	5258890	61.60302577	54	39.05	0.974264352
Utg634878	5203013	49.83349454	50	35.73	0.976459515
Utg635334	5183456	52.08740679	52	38.4	0.973617165
Utg635206	5112564	54.11322937	54	40.76	0.975386774
Utg635304	5050398	54.32747171	55	45.89	0.97839686
Utg635050	5045551	26.02990189	26	36.62	0.972616008
Utg634876	5034881	56.30698337	56	44.13	0.986059218
Utg634700	4989332	55.6714671	56	45.2	0.984440562
Utg634752	4977083	56.30399391	55	40.65	0.981041842
Utg635106	4928679	52.35353874	52	37.79	0.98302499
Utg635212	4857182	54.33559037	54	42.69	0.981436147
Utg634578	4827333	28.11014193	28	41.44	0.973487998
Utg635650	4696473	54.18368273	54	40.62	0.980304754
Utg634544	4691552	54.25303788	54	38.24	0.979074471
Utg634972	4611149	52.97014073	53	41.16	0.979174753
Utg635190	4564194	53.47268495	53	41.9	0.981262628
Utg634910	4560792	54.53210239	53	37.64	0.984267816
Utg634922	4519839	52.65458165	52	40.1	0.983445547
Utg634536	4466005	57.09832172	57	46.63	0.987562947
Utg634644	4464862	59.04244202	51	36.13	0.975252998
Utg634554	4461223	58.8793663	52	36.93	0.980320601
Utg635032	4439529	53.94332821	53	46.43	0.989771231
Utg635004	4438793	59.68034766	58	46.71	0.982152601
Utg634948	4417149	50.25002717	50	34.45	0.985480888
Utg635122	4400916	51.55966743	51	38.66	0.984962413
Utg634654	4395105	54.84803279	53	38.29	0.983066858
Utg635384	4392079	54.81071873	55	39.78	0.983912524
Utg634930	4375732	56.21107645	56	47.18	0.987585356
Utg634560	4355285	26.62456102	26	37.85	0.976485181
Utg635398	4350055	55.30182157	54	43.25	0.979706158
Utg635450	4331387	51.14674902	51	36.04	0.979511955
Utg635224	4289048	55.33275232	55	52.06	0.987426369
Utg634892	4285171	53.60649779	52	38.01	0.977792275
Utg634986	4280647	51.72438359	51	36.19	0.981895048
Utg635086	4273900	54.63395137	55	41.18	0.977257748
Utg634744	4222159	52.81419435	53	38.4	0.983680971
Utg635320	4207478	59.67508189	53	40.33	0.980840481
Utg635172	4187104	52.99059829	53	37.79	0.973314731
Utg634780	4185664	57.33132084	57	48.88	0.979377687
Utg634858	4173849	73.37162395	57	44.54	0.979562076
Utg634616	4166415	28.01526718	27	40.56	0.981004919
Utg635340	4155576	53.22585301	53	41.13	0.982187579
Utg634758	4147205	52.41434931	52	37.83	0.980601131
Utg635242	4140072	53.04838991	53	38.31	0.979873666
Utg635590	4127596	53.65517638	54	38.75	0.97771739
Utg634964	4121239	55.3513451	55	39.09	0.984054322
Utg634906	4100837	51.83683816	51	37.37	0.972093108
Utg634838	4044167	43.70559726	46	39.96	0.979772563
Utg634640	4023097	54.56189052	54	37.68	0.982645707
Utg635038	4007807	51.66041604	51	36.78	0.977783574
Utg635744	3974816	57.95007099	58	51.07	0.984639505
Utg634996	3922805	55.25162584	55	41.74	0.975574504
Utg636114	3890652	54.50868441	54	51.45	0.989088261
Utg634702	3878089	55.94296812	55	40.66	0.978171025
Utg634612	3858855	54.27554388	54	46.79	0.984919961
Utg635494	3836089	51.43609069	51	47.78	0.989393175
Utg635342	3812277	57.48209948	55	43.92	0.980099723
Utg634748	3792259	52.77582664	53	36.67	0.985998658
Utg635210	3780387	56.79420598	56	45.9	0.978820123
Utg635208	3752895	51.47427461	51	37.08	0.980651113
Utg635162	3749987	51.87763979	51	35.68	0.981376246
Utg635684	3702003	59.75625935	56	45.11	0.981104526
Utg634720	3675951	49.70250967	49	34.79	0.981569015
Utg635222	3675942	52.64051912	52	46.26	0.987792543
Utg634854	3663986	53.44977795	53	39.05	0.982477831
Utg634970	3646478	26.57257646	25	36.89	0.9769967
Utg634980	3641677	53.02156369	53	38.46	0.980815696
Utg634550	3613176	52.77734375	53	37.94	0.984131618
Utg635200	3610209	50.65056008	51	36.76	0.97930399
Utg635182	3605742	57.03701247	55	40.84	0.980759033
Utg635044	3596439	54.58212625	54	52.18	0.983622948
Utg635424	3581419	92.46439546	53	45.57	0.975791179
Utg635142	3560853	51.45350172	51	36.65	0.981239419
Utg634920	3487853	52.82818494	52	38.15	0.983753486
Utg635834	3465144	55.06817718	55	41.7	0.985962061
Utg634522	3459074	61.16889043	54	44.53	0.975018204
Utg634848	3404884	57.28166076	54	41.63	0.981064637
Utg636000	3388698	54.47687983	54	41.7	0.982418211
Utg635138	3249431	55.79317015	56	40.45	0.984051972
Utg634870	3228627	28.60279887	27	40.03	0.971774461
Utg635130	3117374	27.92596279	27	42.32	0.97038764
Utg635580	3093887	26.42076882	26	40.87	0.978117643
Utg635054	3092384	54.11147086	54	38.51	0.978834846
Utg635412	3042422	53.64971269	53	38.24	0.977001775
Utg635456	3040752	57.49113864	55	39.97	0.972120339
Utg635470	3022316	53.19415103	53	43.33	0.989335002
Utg635872	3020942	55.67382613	55	45.65	0.981548921
Utg635238	3018995	56.66891946	56	41.89	0.979437823
Utg634530	2985146	56.48538059	56	47.37	0.982574957
Utg634540	2972401	50.88475506	51	36.55	0.980352027
Utg635570	2956301	85.14939952	53	38.34	0.972956191
Utg634684	2943665	52.729864	52	37.69	0.979848494
Utg634936	2931129	52.45329376	52	38.11	0.970987237
Utg635260	2912789	52.6325194	53	37.43	0.98027033
Utg634548	2873791	53.41241814	52	38.49	0.979915782
Utg635286	2840011	51.21384394	51	36.57	0.975125757
Utg634786	2835128	50.7881335	51	35.84	0.983580952
Utg636096	2817849	53.48194006	54	44.55	0.986320366
Utg635070	2788317	49.3161796	49	34.65	0.982368421
Utg635258	2744293	52.37390322	52	41.46	0.974929162
Utg634648	2733940	54.68541301	54	39.67	0.972656461
Utg635302	2700664	51.81339924	52	37.6	0.980518662
Utg635880	2691867	434.8448944	58	57.02	0.980729795
Utg635110	2690788	52.59209585	52	35.96	0.985126338
Utg634954	2681693	27.94086879	26	38.75	0.972748558
Utg635116	2676539	55.41326712	55	40.37	0.984409347
Utg635178	2675421	55.22918169	55	41.41	0.986777848
Utg634894	2671991	57.61045321	57	48.18	0.98797886
Utg634716	2645606	54.86254296	53	39.87	0.98047188
Utg635096	2642586	50.43676497	50	35.36	0.98258804
Utg635390	2624519	49.88245707	50	34.8	0.981605289
Utg634868	2622222	49.32561771	49	35.82	0.977772362
Utg635220	2611146	55.59072268	55	38.58	0.978933267
Utg635466	2597526	54.73753639	54	43.07	0.982944334
Utg634676	2567484	27.63238431	27	42.1	0.979735416
Utg635128	2552284	59.86827703	55	42.97	0.985753863
Utg634756	2545075	58.56663801	54	40.19	0.977218626
Utg635534	2540476	56.10546691	55	47.16	0.955235996
Utg634832	2531495	52.55138585	52	37.65	0.980158476
Utg634546	2525606	52.79452055	52	38.42	0.975947938
Utg635576	2498204	51.02017594	51	36.94	0.971199156
Utg634606	2492389	54.2376247	54	39.54	0.977775236
Utg634686	2488918	27.11669659	27	38.29	0.975613882
Utg635192	2427250	53.07606589	53	42.25	0.983755331
Utg634902	2394393	26.51120988	26	38.14	0.973938193
Utg634990	2388157	53.64705882	53	42.55	0.982148374
Utg635104	2369352	52.2905569	52	39.21	0.979336612
Utg634904	2366764	55.55382436	55	38.84	0.980242928
Utg635982	2362601	58.0029991	56	43.14	0.981179706
Utg635436	2339738	28.43728779	28	42.88	0.975895804
Utg634802	2336071	49.23262469	49	36.17	0.96591267
Utg635356	2297274	56.02225705	55	53.45	0.990103428
Utg635246	2296671	52.44169321	52	36.84	0.98129245
Utg635362	2286506	52.84982611	52	40.19	0.982237517
Utg636488	2284867	56.71192893	56	44.67	0.987402336
Utg635234	2277915	54.81065274	53	42.59	0.975935367
Utg635332	2256262	57.36334068	55	45.65	0.978041057
Utg634882	2255483	48.92333938	49	35.1	0.978924432
Utg635666	2243196	49.07846252	49	34.95	0.981942486
Utg635406	2223427	53.13890703	53	43.29	0.978360731
Utg635524	2219684	53.78106635	54	38.42	0.980898621
Utg634850	2203554	59.61549175	54	38.61	0.976659529
Utg635560	2195796	58.65925046	58	53.7	0.989858823
Utg635920	2179019	53.60006598	53	38.03	0.980322158
Utg635692	2171563	78.69708423	54	48.55	0.982240858
Utg635152	2169483	51.14313897	51	36.62	0.972559484
Utg635316	2138513	54.64569389	55	43.19	0.969057568
Utg635906	2115785	52.79716604	53	39.74	0.982175748
Utg635584	2110733	58.08390585	58	46.03	0.98557108
Utg635520	2091819	54.5201553	55	38.71	0.978528015
Utg634820	2090820	57.64174991	54	46.05	0.973177731
Utg634840	2081426	32.70266005	25	35.42	0.96793325
Utg634940	2067380	48.16595696	48	35.28	0.971788017
Utg634730	2065875	28.57186788	28	41.54	0.977773175
Utg635656	2047347	52.52040816	52	35.93	0.981862327
Utg635504	2033994	54.54648314	54	41.14	0.978767348
Utg634932	2006417	52.42843801	52	38.32	0.981441045
Utg635600	1985556	53.02099609	53	40.87	0.984040655
Utg635760	1966635	57.15806806	57	49.17	0.980654206
Utg635030	1954592	65.86538919	55	41.73	0.976324742
Utg634856	1948553	48.10176827	48	35.02	0.978686904
Utg634562	1930974	53.63897059	53	38.55	0.975769404
Utg635640	1929116	53.16281602	53	38.75	0.982588002
Utg634998	1905010	28.05767056	28	39.07	0.973038723
Utg635632	1897450	54.0680466	54	45.63	0.986243201
Utg635312	1890051	83.91840898	54	47.71	0.978775165
Utg635442	1868276	48.46152863	48	34.74	0.981281292
Utg634706	1829313	53.17591758	53	40.91	0.977715585
Utg635702	1782793	51.64993307	52	38.31	0.980093091
Utg635710	1781874	49.90132371	49	35.07	0.980298688
Utg634714	1752598	53.6941925	53	40.5	0.977700081
Utg634950	1748865	53.03348367	54	36.47	0.98303224
Utg635844	1732925	27.76926328	27	41.63	0.958213098
Utg634698	1731726	49.20719484	49	34.4	0.977026021
Utg635232	1719386	52.71984216	54	47.58	0.992080569
Utg634754	1695993	55.20988872	56	40.05	0.980768112
Utg635426	1660499	60.89048295	61	49.94	0.991096192
Utg635292	1659022	25.17922227	25	37.75	0.961237629
Utg635830	1654020	51.99132043	52	36.94	0.974130504
Utg635550	1641318	55.83644725	56	43.16	0.971365074
Utg635476	1639126	61.45095796	56	39.49	0.981431039
Utg634958	1632710	58.14748784	57	46.17	0.985037582
Utg635034	1591393	52.38067151	52	38.33	0.983005772
Utg635148	1571196	27.0640468	26	38.05	0.96132176
Utg634742	1570236	28.02144936	28	41.93	0.972208254
Utg634804	1564233	53.3001973	54	51.89	0.985550719
Utg635498	1560847	50.05853293	50	36.82	0.965168916
Utg635824	1557911	58.07367625	58	50.97	0.984658346
Utg634890	1556397	48.73014625	48	34.85	0.979517748
Utg634712	1533455	57.31808798	54	40.32	0.978421056
Utg635516	1522884	54.27089246	54	41.17	0.979342471
Utg635734	1513001	57.67821317	57	50.16	0.984675291
Utg635878	1489659	55.59865686	55	46.85	0.986942368
Utg634974	1488207	53.1038858	52	44.7	0.978758661
Utg635102	1471321	53.35488672	54	38.17	0.974895333
Utg635230	1445098	49.67885788	50	35.08	0.981597456
Utg635228	1410707	54.81704641	55	46.56	0.986357475
Utg635176	1407690	27.49229988	26	37.19	0.980258287
Utg635468	1391381	55.40565874	55	43.17	0.974642284
Utg635170	1389308	52.53062985	52	38.63	0.970100888
Utg636384	1379697	52.1971708	53	38.99	0.98120091
Utg635574	1359677	50.162191	49	34.25	0.984796178
Utg635474	1349127	27.31439593	27	44.59	0.969866022
Utg635264	1336674	54.22039774	54	38.49	0.973636649
Utg635602	1332257	53.22311779	53	39.2	0.986561747
Utg635610	1328415	55.18341709	53	52.83	0.982618936
Utg635186	1324976	52.93129215	53	47.84	0.992594306
Utg635188	1319544	27.82974628	28	42.11	0.977293256
Utg635382	1315293	50.03156749	50	37.27	0.979152409
Utg635992	1312985	47.75328415	48	34.94	0.981872095
Utg635094	1296146	55.07906296	55	43.62	0.98239282
Utg634944	1290694	25.10171612	24	38.24	0.974605738
Utg635278	1277487	47.35263645	47	36.51	0.963080928
Utg635124	1264348	50.32068705	50	39.31	0.973491774
Utg636788	1256784	54.86267741	55	37.27	0.977722117
Utg634608	1254664	53.30667673	53	40.86	0.980796826
Utg635746	1249025	62.31360492	53	37.59	0.969572495
Utg636012	1243864	57.54998107	58	41.95	0.988218979
Utg635496	1222490	59.7101936	57	42.17	0.977489236
Utg635374	1214449	26.5232375	26	38.76	0.967420054
Utg635430	1202541	52.69969454	52	35.37	0.982797146
Utg635180	1202460	681.7367579	54	38.31	0.975027985
Utg635708	1177558	52.80275779	53	41.1	0.97924106
Utg635298	1174120	45.80818667	46	34.12	0.981135718
Utg635462	1150588	51.6100889	52	35.73	0.984791873
Utg634992	1147562	24.74812344	24	36.4	0.964468336
Utg634788	1117798	53.61054459	54	37.78	0.97799159
Utg634638	1117771	23.83510865	24	36.12	0.965942947
Utg635042	1104195	26.56562086	24	36.31	0.962598141
Utg635408	1100124	47.64095402	47	34.34	0.978107104
Utg635460	1096832	28.72254212	28	41.65	0.971056313
Utg634956	1080066	50.72958501	51	41.63	0.968981012
Utg636026	1067423	26.27559405	26	38.15	0.980861683
Utg634790	1065750	84.37394021	56	45.85	0.975481069
Utg635506	1059979	54.41169929	52	46.96	0.992059519
Utg636200	1059181	60.72916667	53	41.68	0.963959983
Utg635706	1050688	54.08232662	54	39.52	0.98691026
Utg635024	1047601	46.54473988	47	34.66	0.97045854
Utg635688	1032792	62.3033964	54	37.59	0.980884958
Utg635216	1030353	23.87669035	24	35.91	0.96388619
Utg634600	1015685	100.4123932	59	43.53	0.988077865
Utg634664	998876	27.66058131	27	39.55	0.954374622
Utg634582	970520	49.85548705	50	34.47	0.982686797
Utg635454	947767	114.997967	52	40.08	0.957635451
Utg635344	941760	52.19255907	52	37.08	0.970246425
Utg635696	935583	81.82558432	52	37.27	0.964413078
Utg634942	930869	49.62869632	50	34.93	0.969548746
Utg636582	917464	58.83523612	50	34.38	0.980997784
Utg635540	914307	51.1645438	49	36.19	0.960692211
Utg636306	913339	82.77146631	55	45.93	0.986360227
Utg635056	912101	27.76789474	28	40.28	0.979549633
Utg635690	908518	53.91193991	54	39.33	0.983915637
Utg635620	902963	56.25958779	28	38.36	0.967593774
Utg636234	897359	89.3529724	62	50.51	0.966191401
Utg635654	870628	53.79505693	54	39.47	0.981457201
Utg635526	849888	54.42554945	54	42.57	0.974642652
Utg635270	848837	49.953053	50	35.81	0.980734666
Utg635386	828671	25.52846463	26	37.15	0.968004646
Utg636380	826320	53.31240833	53	42.64	0.98473744
Utg635926	823584	49.3411029	50	35.48	0.98228487
Utg635596	823349	59.27110343	59	43.03	0.981856129
Utg635006	823188	25.42967853	25	36.98	0.963358291
Utg635662	821893	28.91806117	29	39.97	0.980173083
Utg635916	819391	56.28221906	57	42.32	0.982932072
Utg635776	812439	52.30724638	53	37.79	0.982481101
Utg634794	812422	52.28216019	52	36.13	0.981885727
Utg636038	810746	24.12141603	23	37.87	0.952538273
Utg635846	807261	218.0926858	52	41.01	0.945463543
Utg635756	795702	49.7274665	50	41.17	0.979646751
Utg634860	788499	57.40426199	57	46.84	0.990654351
Utg635250	787188	47.27406297	48	34.91	0.967285441
Utg635018	768491	27.40317559	27	40.98	0.970555027
Utg635146	761988	24.34375977	25	35.9	0.969926203
Utg635680	747000	57.08820709	57	44.09	0.98502622
Utg635554	732488	30.97905253	27	39.27	0.955259605
Utg636538	718508	49.94086554	50	37.07	0.98460212
Utg635634	715027	26.64481757	26	36.7	0.960085257
Utg635960	698260	22.4931694	22	35.33	0.966731783
Utg635938	697844	52.33220109	57	39.98	0.983099353
Utg636532	697062	47.42940973	47	35.71	0.979856167
Utg635486	694508	53.94403237	55	46.22	0.986887762
Utg635140	690074	57.67270862	50	39.13	0.927862654
Utg636812	688956	51.0930386	51	38.78	0.97094609
Utg634656	686680	52.84540728	53	36.61	0.984336221
Utg635002	678434	27.09823944	27	40.5	0.963532007
Utg635484	668234	53.96242775	54	39.3	0.985009148
Utg635962	666091	51.38399413	51	38.76	0.985233637
Utg635758	661616	51.57558348	52	41.25	0.981390377
Utg635646	649098	53.05387454	54	44.23	0.965632719
Utg636322	644580	53.71497227	54	47.91	0.98046338
Utg636016	643180	47.1311537	48	35	0.972355527
Utg636052	634393	29.27513431	29	46.99	0.979981617
Utg635730	634040	24.36504425	24	36.87	0.968377804
Utg635066	631265	26.16450876	25	37.46	0.960215715
Utg635812	631139	55.13426266	54	42.16	0.985678798
Utg635598	630700	24.83048875	24	39.17	0.962591773
Utg635328	627400	53.29365701	53	37.42	0.991436362
Utg635622	623866	367.7612403	364.5	44.16	0.487311783
Utg635816	622975	173.5848694	142	44.07	0.408564776
Utg635658	616821	53.95126706	47	35.68	0.973662496
Utg634660	611979	58.93611324	59	43.41	0.97706798
Utg636058	608747	258.9561578	214	44.26	0.452580968
Utg636870	608358	50.27315358	52	39.39	0.966874641
Utg635790	596625	25.50802568	25	37.32	0.976822399
Utg635638	594496	56.12749004	56	38.91	0.987229246
Utg634736	568261	143.9678783	52	43.52	0.953259068
Utg635896	564358	25.69197769	26	36.86	0.982117573
Utg635956	563386	51.81637931	52	35.8	0.981974889
Utg635762	562973	54.98044218	55	43.13	0.973816427
Utg635062	554702	50.31410545	51	37.75	0.972345808
Utg635664	551182	26.19856358	26	38.92	0.94892642
Utg635528	545096	25.9546841	25	37.97	0.963319636
Utg635612	530765	48.45442419	49	36.8	0.960875269
Utg635836	524357	264.9381818	214	44.15	0.332921677
Utg635290	523392	55.25264611	55	39.79	0.988051521
Utg635898	521949	52.78262933	52	37.59	0.979946069
Utg635862	518863	233.6764302	214	44.13	0.200126892
Utg636126	518703	55.66959335	57	43.06	0.979578713
Utg635732	516651	28.70050761	28	55.29	0.990000376
Utg635064	497342	54.9	58	47.77	0.975494411
Utg635284	493967	936.3374778	158	44.99	0.750528432
Utg635548	493880	46.06797066	47	37.25	0.92814859
Utg635592	492652	60.4137931	61	47.92	0.989797186
Utg635492	491987	59.43212891	57.5	40.77	0.977721673
Utg636066	491203	55.39969605	56	49.88	0.995811131
Utg636278	490201	182.4837728	141	44.05	0.648754387
Utg636460	489863	131.6428217	104	44.12	0.761567934
Utg635108	489394	47.63898558	48	33.94	0.969471341
Utg634682	489130	57.77975309	57	52.63	0.991867907
Utg635482	487308	54.83686545	56	42.69	0.977325622
Utg635414	484855	97.42397509	77	44.22	0.507338184
Utg635114	483920	27.83466135	27	39.16	0.982065264
Utg635370	482783	48.6	49	34.79	0.985953297
Utg635674	480319	50.28663686	51	36.3	0.990937616
Utg635682	477796	29.3349778	30	53.56	0.990126078
Utg635546	477640	23.05769231	23	35.89	0.957904731
Utg636160	467909	278.343617	236	44.22	0.329594272
Utg635988	467455	246.8724936	154	47.62	0.515224335
Utg634762	456883	24.34470094	24	38.08	0.947401479
Utg635100	449729	25.98404255	24	38.34	0.944015326
Utg636142	440619	50.16336634	51	39.35	0.963426124
Utg635648	439594	26.26421224	27	41.14	0.95163138
Utg637054	430785	173.0714286	128.5	44.13	0.328915092
Utg635802	430690	200.1655592	177	44.2	0.290908257
Utg635380	429524	49.15672058	50	34.84	0.989486789
Utg636314	426855	164.2308552	140	44.2	0.525676901
Utg635000	425253	51.48192121	51	35.96	0.98870468
Utg634900	418743	189.7722255	79	47.88	0.680268317
Utg634718	414162	78.60943718	52	46.3	0.970637431
Utg637008	408290	194.3094118	160	45.96	0.341181627
Utg635288	408187	74.5656682	54	38.9	0.959382741
