sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50	contig_size
SAMPLE	Utg636154	no-zero-phased.vcf	2318	1939	252	0	6	117.5	323.1666667	5	864	1939	13378	54202.66667	1477	149820	325216	2191	2126	1883	0.884984026	0.885700847	144598	386741
SAMPLE	Utg637180	no-zero-phased.vcf	1141	694	367	0	3	179	231.3333333	79	436	694	18252	40910.66667	14963	89517	122732	1061	1023	663	0.654099906	0.648093842	18252	185132
SAMPLE	Utg634742	no-zero-phased.vcf	984	826	6	0	13	11	63.53846154	2	663	826	49476	91172.84615	3298	339698	1185247	832	534	532	0.992788462	0.996254682	214840	1570236
SAMPLE	Utg634748	no-zero-phased.vcf	7624	7283	14	0	2	3641.5	3641.5	3	7280	7283	1887354.5	1887354.5	8445	3766264	3774709	7297	5886	5883	0.998081403	0.999490316	3766264	3792259
SAMPLE	Utg637664	no-zero-phased.vcf	1061	432	78	0	1	432	432	432	432	432	101091	101091	101091	101091	101091	510	344	335	0.847058824	0.973837209	101091	143039
SAMPLE	Utg634920	no-zero-phased.vcf	7441	7302	10	0	1	7302	7302	7302	7302	7302	3484097	3484097	3484097	3484097	3484097	7312	6096	6091	0.998632385	0.99917979	3484097	3487853
SAMPLE	Utg634980	no-zero-phased.vcf	7850	7719	16	0	1	7719	7719	7719	7719	7719	3634928	3634928	3634928	3634928	3634928	7735	6359	6354	0.99793148	0.999213713	3634928	3641677
SAMPLE	Utg636652	no-zero-phased.vcf	1109	500	24	0	1	500	500	500	500	500	100957	100957	100957	100957	100957	524	460	438	0.954198473	0.952173913	100957	119920
SAMPLE	Utg634670	no-zero-phased.vcf	18308	17959	53	0	1	17959	17959	17959	17959	17959	8236630	8236630	8236630	8236630	8236630	18012	14850	14832	0.997057517	0.998787879	8236630	8248692
SAMPLE	Utg635882	no-zero-phased.vcf	503	485	0	0	1	485	485	485	485	485	237390	237390	237390	237390	237390	485	407	407	1	1	237390	245682
SAMPLE	Utg635550	no-zero-phased.vcf	3634	3087	2	0	1	3087	3087	3087	3087	3087	1638113	1638113	1638113	1638113	1638113	3089	2547	2545	0.999352541	0.999214762	1638113	1641318
SAMPLE	Utg636500	no-zero-phased.vcf	21	19	1	0	4	3.5	4.75	2	10	19	12234	23601.75	3243	66696	94407	20	2	2	0.95	1	0	191957
SAMPLE	Utg638676	no-zero-phased.vcf	428	60	164	0	2	30	30	25	35	60	10539	10539	3528	17550	21078	224	220	58	0.267857143	0.263636364	0	72381
SAMPLE	Utg635800	no-zero-phased.vcf	16	14	0	0	1	14	14	14	14	14	68167	68167	68167	68167	68167	14	10	10	1	1	68167	70217
SAMPLE	Utg634950	no-zero-phased.vcf	3690	3637	4	0	1	3637	3637	3637	3637	3637	1745708	1745708	1745708	1745708	1745708	3641	2984	2984	0.998901401	1	1745708	1748865
SAMPLE	Utg635584	no-zero-phased.vcf	5136	4782	8	0	1	4782	4782	4782	4782	4782	2097998	2097998	2097998	2097998	2097998	4790	3989	3987	0.998329854	0.999498621	2097998	2110733
SAMPLE	Utg635830	no-zero-phased.vcf	5005	4887	4	0	1	4887	4887	4887	4887	4887	1647909	1647909	1647909	1647909	1647909	4891	4128	4126	0.999182171	0.999515504	1647909	1654020
SAMPLE	Utg635666	no-zero-phased.vcf	5889	5335	19	0	1	5335	5335	5335	5335	5335	2208278	2208278	2208278	2208278	2208278	5354	4180	4170	0.996451251	0.997607656	2208278	2243196
SAMPLE	Utg634720	no-zero-phased.vcf	8329	8186	16	0	1	8186	8186	8186	8186	8186	3673999	3673999	3673999	3673999	3673999	8202	6678	6668	0.998049256	0.998502546	3673999	3675951
SAMPLE	Utg636722	no-zero-phased.vcf	1032	571	153	0	3	131	190.3333333	122	318	571	13705	25633.66667	10122	53074	76901	724	715	566	0.788674033	0.791608392	13705	123723
SAMPLE	Utg634858	no-zero-phased.vcf	10341	9904	20	0	1	9904	9904	9904	9904	9904	4159639	4159639	4159639	4159639	4159639	9924	8357	8348	0.997984684	0.998923059	4159639	4173849
SAMPLE	Utg634832	no-zero-phased.vcf	6088	5869	9	0	1	5869	5869	5869	5869	5869	2516642	2516642	2516642	2516642	2516642	5878	4880	4875	0.998468867	0.99897541	2516642	2531495
SAMPLE	Utg635090	no-zero-phased.vcf	27	27	0	0	5	4	5.4	2	9	27	29645	36705	1475	91146	183525	27	2	2	1	1	58223	258071
SAMPLE	Utg634770	no-zero-phased.vcf	12099	11943	20	0	1	11943	11943	11943	11943	11943	5630911	5630911	5630911	5630911	5630911	11963	9859	9851	0.998328179	0.999188559	5630911	5631925
SAMPLE	Utg635672	no-zero-phased.vcf	80	40	0	0	6	4.5	6.666666667	2	21	40	26210	42028	2383	157905	252168	40	2	2	1	1	27909	383640
SAMPLE	Utg637636	no-zero-phased.vcf	1082	867	38	0	2	433.5	433.5	404	463	867	94913	94913	90483	99343	189826	905	867	834	0.95801105	0.961937716	90483	199471
SAMPLE	Utg635212	no-zero-phased.vcf	11962	11605	23	0	1	11605	11605	11605	11605	11605	4856568	4856568	4856568	4856568	4856568	11628	9618	9613	0.998022016	0.999480141	4856568	4857182
SAMPLE	Utg636908	no-zero-phased.vcf	765	450	121	0	3	145	150	74	231	450	25642	27148.66667	14340	41464	81446	571	551	432	0.788091068	0.784029038	25642	104331
SAMPLE	Utg635516	no-zero-phased.vcf	3980	3912	5	0	1	3912	3912	3912	3912	3912	1515845	1515845	1515845	1515845	1515845	3917	3228	3226	0.998723513	0.999380421	1515845	1522884
SAMPLE	Utg636258	no-zero-phased.vcf	219	149	41	0	1	149	149	149	149	149	103009	103009	103009	103009	103009	190	188	147	0.784210526	0.781914894	103009	121589
SAMPLE	Utg637792	no-zero-phased.vcf	358	320	3	0	1	320	320	320	320	320	106280	106280	106280	106280	106280	323	275	274	0.990712074	0.996363636	106280	108779
SAMPLE	Utg636152	no-zero-phased.vcf	100	73	0	0	1	73	73	73	73	73	54373	54373	54373	54373	54373	73	62	62	1	1	54373	56014
SAMPLE	Utg634730	no-zero-phased.vcf	1099	1025	8	0	20	10.5	51.25	2	778	1025	35346	73510.25	945	386753	1470205	1033	687	685	0.992255566	0.997088792	113640	2065875
SAMPLE	Utg635104	no-zero-phased.vcf	5786	5728	16	0	1	5728	5728	5728	5728	5728	2363583	2363583	2363583	2363583	2363583	5744	4812	4806	0.997214485	0.998753117	2363583	2369352
SAMPLE	Utg634962	no-zero-phased.vcf	18846	18004	31	0	1	18004	18004	18004	18004	18004	8015775	8015775	8015775	8015775	8015775	18035	14848	14834	0.99828112	0.999057112	8015775	8023252
SAMPLE	Utg635940	no-zero-phased.vcf	702	484	145	0	1	484	484	484	484	484	92141	92141	92141	92141	92141	629	617	473	0.769475358	0.766612642	92141	120854
SAMPLE	Utg635506	no-zero-phased.vcf	3748	3486	4	0	1	3486	3486	3486	3486	3486	1059100	1059100	1059100	1059100	1059100	3490	2903	2901	0.998853868	0.999311058	1059100	1059979
SAMPLE	Utg637150	no-zero-phased.vcf	823	478	80	0	2	239	239	164	314	478	81066	81066	25320	136812	162132	558	541	464	0.856630824	0.85767098	136812	190533
SAMPLE	Utg635398	no-zero-phased.vcf	11963	11600	12	0	2	5800	5800	1295	10305	11600	2157696.5	2157696.5	342791	3972602	4315393	11612	9547	9544	0.998966586	0.999685765	3972602	4350055
SAMPLE	Utg635596	no-zero-phased.vcf	1907	1845	7	0	1	1845	1845	1845	1845	1845	813069	813069	813069	813069	813069	1852	1536	1534	0.996220302	0.998697917	813069	823349
SAMPLE	Utg635058	no-zero-phased.vcf	17961	17688	31	0	1	17688	17688	17688	17688	17688	6704106	6704106	6704106	6704106	6704106	17719	14925	14915	0.998250466	0.999329983	6704106	6713494
SAMPLE	Utg634896	no-zero-phased.vcf	47055	46334	73	0	1	46334	46334	46334	46334	46334	17818041	17818041	17818041	17818041	17818041	46407	39111	39087	0.998426961	0.999386362	17818041	17843741
SAMPLE	Utg636092	no-zero-phased.vcf	1049	786	69	0	2	393	393	178	608	786	161536	161536	101113	221959	323072	855	839	770	0.919298246	0.917759237	221959	333273
SAMPLE	Utg637402	no-zero-phased.vcf	1384	1102	5	0	1	1102	1102	1102	1102	1102	272947	272947	272947	272947	272947	1107	968	965	0.995483288	0.996900826	272947	274405
SAMPLE	Utg636582	no-zero-phased.vcf	2208	2066	3	0	1	2066	2066	2066	2066	2066	916983	916983	916983	916983	916983	2069	1687	1686	0.998550024	0.999407232	916983	917464
SAMPLE	Utg637074	no-zero-phased.vcf	3533	2584	2	0	1	2584	2584	2584	2584	2584	219930	219930	219930	219930	219930	2586	2155	2153	0.999226605	0.999071926	219930	220649
SAMPLE	Utg635390	no-zero-phased.vcf	6546	6047	20	0	1	6047	6047	6047	6047	6047	2616143	2616143	2616143	2616143	2616143	6067	4846	4837	0.996703478	0.998142798	2616143	2624519
SAMPLE	Utg635894	no-zero-phased.vcf	358	287	6	0	2	143.5	143.5	129	158	287	26320	26320	15225	37415	52640	293	284	279	0.979522184	0.982394366	15225	81806
SAMPLE	Utg637574	no-zero-phased.vcf	390	372	2	0	1	372	372	372	372	372	70865	70865	70865	70865	70865	374	367	366	0.994652406	0.997275204	70865	72697
SAMPLE	Utg637218	no-zero-phased.vcf	12	10	0	0	2	5	5	5	5	10	25313	25313	13794	36832	50626	10	2	2	1	1	13794	98804
SAMPLE	Utg636862	no-zero-phased.vcf	228	139	0	0	1	139	139	139	139	139	76919	76919	76919	76919	76919	139	108	108	1	1	76919	78071
SAMPLE	Utg638298	no-zero-phased.vcf	1806	948	640	0	7	47	135.4285714	29	330	948	10883	15397.14286	3848	41787	107780	1588	1579	945	0.59697733	0.598480051	0	232537
SAMPLE	Utg635226	no-zero-phased.vcf	144	136	1	0	4	6.5	34	2	121	136	16314.5	17043.5	2300	33245	68174	137	108	108	0.99270073	1	0	238333
SAMPLE	Utg635276	no-zero-phased.vcf	880	518	81	0	4	42.5	129.5	2	431	518	7987.5	20280	629	64516	81120	599	583	509	0.864774624	0.873070326	4734	153877
SAMPLE	Utg634562	no-zero-phased.vcf	4684	4591	6	0	1	4591	4591	4591	4591	4591	1926962	1926962	1926962	1926962	1926962	4597	3852	3849	0.998694801	0.999221184	1926962	1930974
SAMPLE	Utg634922	no-zero-phased.vcf	11571	11399	15	0	1	11399	11399	11399	11399	11399	4498714	4498714	4498714	4498714	4498714	11414	9407	9406	0.998685824	0.999893696	4498714	4519839
SAMPLE	Utg635222	no-zero-phased.vcf	9594	9497	10	0	1	9497	9497	9497	9497	9497	3667569	3667569	3667569	3667569	3667569	9507	8012	8011	0.998948143	0.999875187	3667569	3675942
SAMPLE	Utg637436	no-zero-phased.vcf	144	102	0	0	1	102	102	102	102	102	84810	84810	84810	84810	84810	102	80	80	1	1	84810	85523
SAMPLE	Utg634910	no-zero-phased.vcf	10624	10401	15	0	2	5200.5	5200.5	886	9515	10401	2278281.5	2278281.5	371411	4185152	4556563	10416	8598	8591	0.998559908	0.999185857	4185152	4560792
SAMPLE	Utg635906	no-zero-phased.vcf	4612	4459	15	0	1	4459	4459	4459	4459	4459	2100108	2100108	2100108	2100108	2100108	4474	3747	3741	0.996647295	0.998398719	2100108	2115785
SAMPLE	Utg636380	no-zero-phased.vcf	2261	2222	3	0	1	2222	2222	2222	2222	2222	823611	823611	823611	823611	823611	2225	1890	1889	0.998651685	0.999470899	823611	826320
SAMPLE	Utg634874	no-zero-phased.vcf	25396	24617	28	0	1	24617	24617	24617	24617	24617	9661262	9661262	9661262	9661262	9661262	24645	20878	20868	0.998863867	0.999521027	9661262	9669340
SAMPLE	Utg634564	no-zero-phased.vcf	971	806	14	1	67	7	12.02985075	2	106	806	38911	66442.67164	1	320550	4451659	821	130	129	0.981729598	0.992307692	51677	6790492
SAMPLE	Utg634940	no-zero-phased.vcf	2659	2492	1	0	1	2492	2492	2492	2492	2492	2043619	2043619	2043619	2043619	2043619	2493	2005	2004	0.999598877	0.999501247	2043619	2067380
SAMPLE	Utg634824	no-zero-phased.vcf	27765	27184	49	0	1	27184	27184	27184	27184	27184	11446419	11446419	11446419	11446419	11446419	27233	22730	22711	0.998200712	0.9991641	11446419	11452813
SAMPLE	Utg635060	no-zero-phased.vcf	36109	35036	57	0	1	35036	35036	35036	35036	35036	14670769	14670769	14670769	14670769	14670769	35093	28919	28897	0.998375744	0.999239254	14670769	14672999
SAMPLE	Utg634830	no-zero-phased.vcf	2866	1725	644	0	8	196	215.625	8	424	1725	21965.5	30625.375	708	65874	245003	2369	2215	1637	0.72815534	0.739051919	25933	388159
SAMPLE	Utg634708	no-zero-phased.vcf	12254	11602	31	0	1	11602	11602	11602	11602	11602	5383065	5383065	5383065	5383065	5383065	11633	9511	9497	0.997335167	0.99852802	5383065	5399879
SAMPLE	Utg637820	no-zero-phased.vcf	579	481	0	0	1	481	481	481	481	481	56783	56783	56783	56783	56783	481	474	474	1	1	56783	71325
SAMPLE	Utg637328	no-zero-phased.vcf	1024	873	46	0	2	436.5	436.5	390	483	873	89038	89038	79607	98469	178076	919	892	849	0.949945593	0.951793722	98469	191408
